source,target,edge_type,evidence,config_gates,confidence,detail
src/sandbox/tools/local/file_analysis.py::create_file_analysis_tools,src/sandbox/tools/local/file_analysis.py::create_file_analysis_tools.inspect_file,TOOL_CALLBACK,src/sandbox/tools/local/file_analysis.py:96,selected registered tool,HIGH,coroutine
src/sandbox/tools/local/file_analysis.py::create_file_analysis_tools,src/sandbox/tools/local/file_analysis.py::create_file_analysis_tools.search_file,TOOL_CALLBACK,src/sandbox/tools/local/file_analysis.py:102,selected registered tool,HIGH,coroutine
src/sandbox/tools/local/file_analysis.py::create_file_analysis_tools,src/sandbox/tools/local/file_analysis.py::create_file_analysis_tools.count_matches,TOOL_CALLBACK,src/sandbox/tools/local/file_analysis.py:108,selected registered tool,HIGH,coroutine
src/sandbox/tools/local/file_analysis.py::create_file_analysis_tools,src/sandbox/tools/local/file_analysis.py::create_file_analysis_tools.text_stats,TOOL_CALLBACK,src/sandbox/tools/local/file_analysis.py:114,selected registered tool,HIGH,coroutine
src/sandbox/tools/local/fs_edit.py::create_fs_edit_tool,src/sandbox/tools/local/fs_edit.py::create_fs_edit_tool.fs_edit,TOOL_CALLBACK,src/sandbox/tools/local/fs_edit.py:56,selected registered tool,HIGH,coroutine
src/sandbox/tools/local/fs_read.py::create_fs_read_tool,src/sandbox/tools/local/fs_read.py::create_fs_read_tool.fs_read,TOOL_CALLBACK,src/sandbox/tools/local/fs_read.py:63,selected registered tool,HIGH,coroutine
src/sandbox/tools/local/fs_write.py::create_fs_write_tool,src/sandbox/tools/local/fs_write.py::create_fs_write_tool.fs_write,TOOL_CALLBACK,src/sandbox/tools/local/fs_write.py:23,selected registered tool,HIGH,coroutine
src/sandbox/tools/local/glob_.py::create_glob_tool,src/sandbox/tools/local/glob_.py::create_glob_tool.glob_,TOOL_CALLBACK,src/sandbox/tools/local/glob_.py:49,selected registered tool,HIGH,coroutine
src/sandbox/tools/local/grep.py::create_grep_tool,src/sandbox/tools/local/grep.py::create_grep_tool.grep,TOOL_CALLBACK,src/sandbox/tools/local/grep.py:79,selected registered tool,HIGH,coroutine
src/sandbox/tools/local/reminder.py::create_reminder_tool,src/sandbox/tools/local/reminder.py::create_reminder_tool._execute,TOOL_CALLBACK,src/sandbox/tools/local/reminder.py:167,selected registered tool,HIGH,coroutine
src/sandbox/tools/local/reminder.py::create_list_reminders_tool,src/sandbox/tools/local/reminder.py::create_list_reminders_tool._execute,TOOL_CALLBACK,src/sandbox/tools/local/reminder.py:218,selected registered tool,HIGH,coroutine
src/sandbox/tools/local/reminder.py::create_cancel_reminder_tool,src/sandbox/tools/local/reminder.py::create_cancel_reminder_tool._execute,TOOL_CALLBACK,src/sandbox/tools/local/reminder.py:258,selected registered tool,HIGH,coroutine
ROOT:WEB_LIFECYCLE,src/orchestration/web_workflow.py::WebRunWorkflow,QUEUE_WORKFLOW_REGISTRATION,src/orchestration/web_workers.py:171,WEB_REAL_AGENT_ENABLED; definitions independent of durable start flag,HIGH,WEB_LIFECYCLE_TASK_QUEUE
ROOT:WEB_LIFECYCLE,src/orchestration/durable_web_workflow.py::DurableWebRunWorkflow,QUEUE_WORKFLOW_REGISTRATION,src/orchestration/web_workers.py:172,WEB_REAL_AGENT_ENABLED; definitions independent of durable start flag,HIGH,WEB_LIFECYCLE_TASK_QUEUE
ROOT:WEB_LIFECYCLE,src/orchestration/research_workflow.py::ResearchReportWorkflow,QUEUE_WORKFLOW_REGISTRATION,src/orchestration/web_workers.py:173,WEB_REAL_AGENT_ENABLED; definitions independent of durable start flag,HIGH,WEB_LIFECYCLE_TASK_QUEUE
ROOT:WEB_LIFECYCLE,src/orchestration/research_workflow.py::ResearchTaskScheduleWorkflow,QUEUE_WORKFLOW_REGISTRATION,src/orchestration/web_workers.py:174,WEB_REAL_AGENT_ENABLED; definitions independent of durable start flag,HIGH,WEB_LIFECYCLE_TASK_QUEUE
ROOT:WEB_LIFECYCLE,src/orchestration/artifact_workflow.py::ArtifactBuildWorkflow,QUEUE_WORKFLOW_REGISTRATION,src/orchestration/web_workers.py:175,WEB_REAL_AGENT_ENABLED; definitions independent of durable start flag,HIGH,WEB_LIFECYCLE_TASK_QUEUE
ROOT:WEB_LIFECYCLE,src/orchestration/document_workflow.py::NormalizeDocumentWorkflow,QUEUE_WORKFLOW_REGISTRATION,src/orchestration/web_workers.py:176,WEB_REAL_AGENT_ENABLED; definitions independent of durable start flag,HIGH,WEB_LIFECYCLE_TASK_QUEUE
ROOT:WEB_AGENT,src/agent_workflows/agent_run.py::AgentRunWorkflow,QUEUE_WORKFLOW_REGISTRATION,src/orchestration/web_workers.py:184,WEB_REAL_AGENT_ENABLED; definitions independent of durable start flag,HIGH,WEB_AGENT_TASK_QUEUE
ROOT:WEB_AGENT,src/agent_workflows/react.py::ReactAgentWorkflow,QUEUE_WORKFLOW_REGISTRATION,src/orchestration/web_workers.py:185,WEB_REAL_AGENT_ENABLED; definitions independent of durable start flag,HIGH,WEB_AGENT_TASK_QUEUE
ROOT:WEB_AGENT,src/agent_workflows/plan_execute.py::PlanAndExecuteWorkflow,QUEUE_WORKFLOW_REGISTRATION,src/orchestration/web_workers.py:186,WEB_REAL_AGENT_ENABLED; definitions independent of durable start flag,HIGH,WEB_AGENT_TASK_QUEUE
ROOT:WEB_AGENT,src/agent_workflows/agent_step.py::AgentStepWorkflow,QUEUE_WORKFLOW_REGISTRATION,src/orchestration/web_workers.py:187,WEB_REAL_AGENT_ENABLED; definitions independent of durable start flag,HIGH,WEB_AGENT_TASK_QUEUE
ROOT:WEB_AGENT,src/agent_workflows/tool_execution.py::ToolExecutionWorkflow,QUEUE_WORKFLOW_REGISTRATION,src/orchestration/web_workers.py:188,WEB_REAL_AGENT_ENABLED; definitions independent of durable start flag,HIGH,WEB_AGENT_TASK_QUEUE
ROOT:WEB_LIFECYCLE,src/orchestration/web_activities.py::prepare_run_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:319,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/orchestration/web_activities.py::acquire_execution_lease_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:320,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/orchestration/web_activities.py::release_execution_lease_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:321,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/orchestration/web_activities.py::finalize_failed_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:322,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/orchestration/web_activities.py::finalize_cancelled_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:323,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/agent_activities/runtime.py::DurableAgentActivities.finalize_agent_result,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:324,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/orchestration/artifact_activities.py::execute_artifact_build_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:325,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.prepare_research_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:326,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.trigger_scheduled_research_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:327,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.create_research_plan_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:328,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.discover_research_sources_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:329,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.rank_research_sources_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:330,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.fetch_research_sources_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:331,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.normalize_research_sources_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:332,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.extract_research_evidence_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:333,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.assess_research_corroboration_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:334,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.analyze_research_gaps_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:335,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.synthesize_research_report_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:336,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.verify_research_citations_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:337,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.compare_previous_research_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:338,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.publish_research_artifact_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:339,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.complete_research_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:340,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_LIFECYCLE,src/research_activities/runtime.py::ResearchActivities.fail_research_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:341,WEB_REAL_AGENT_ENABLED,HIGH,lifecycle_activities
ROOT:WEB_AGENT,src/orchestration/web_activities.py::execute_agent_activity,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:344,WEB_REAL_AGENT_ENABLED,HIGH,agent_activities
ROOT:WEB_AGENT,src/agent_activities/runtime.py::DurableAgentActivities.context_bootstrap,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:345,WEB_REAL_AGENT_ENABLED,HIGH,agent_activities
ROOT:WEB_AGENT,src/agent_activities/runtime.py::DurableAgentActivities.model_decision,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:346,WEB_REAL_AGENT_ENABLED,HIGH,agent_activities
ROOT:WEB_AGENT,src/agent_activities/runtime.py::DurableAgentActivities.tool_execution,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:347,WEB_REAL_AGENT_ENABLED,HIGH,agent_activities
ROOT:WEB_AGENT,src/agent_activities/runtime.py::DurableAgentActivities.file_action_approval_status,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:348,WEB_REAL_AGENT_ENABLED,HIGH,agent_activities
ROOT:WEB_AGENT,src/agent_activities/persistent_overwrite.py::PersistentOverwriteActivities.execute,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:349,WEB_REAL_AGENT_ENABLED,HIGH,agent_activities
ROOT:WEB_AGENT,src/agent_activities/runtime.py::DurableAgentActivities.planning,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:350,WEB_REAL_AGENT_ENABLED,HIGH,agent_activities
ROOT:WEB_AGENT,src/agent_activities/runtime.py::DurableAgentActivities.evaluate_plan,QUEUE_ACTIVITY_REGISTRATION,src/orchestration/worker.py:351,WEB_REAL_AGENT_ENABLED,HIGH,agent_activities
src/orchestration/worker.py::start_worker,ROOT:WEB_LIFECYCLE,WORKER_ACTIVATION,src/orchestration/worker.py:930,WEB_REAL_AGENT_ENABLED,HIGH,
src/orchestration/worker.py::start_worker,ROOT:WEB_AGENT,WORKER_ACTIVATION,src/orchestration/worker.py:930,WEB_REAL_AGENT_ENABLED,HIGH,
src/orchestration/research_workflow.py::ResearchTaskScheduleWorkflow.run,src/research_activities/runtime.py::ResearchActivities.trigger_scheduled_research_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:89,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.prepare_research_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:114,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.create_research_plan_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:115,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.discover_research_sources_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:132,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.rank_research_sources_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:133,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.fetch_research_sources_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:134,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.normalize_research_sources_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:135,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.extract_research_evidence_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:136,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.assess_research_corroboration_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:137,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.analyze_research_gaps_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:153,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.synthesize_research_report_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:163,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.verify_research_citations_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:164,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.compare_previous_research_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:165,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.publish_research_artifact_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:166,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.complete_research_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:167,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/orchestration/research_workflow.py::ResearchReportWorkflow.run,src/research_activities/runtime.py::ResearchActivities.fail_research_activity,TEMPORAL_STAGE_TABLE,src/orchestration/research_workflow.py:179,"fixed Workflow stage/iteration, up to 3",HIGH,task_queue=WEB_LIFECYCLE_TASK_QUEUE
src/agent_workflows/agent_run.py::AgentRunWorkflow.run,src/agent_workflows/react.py::ReactAgentWorkflow.run,WORKFLOW_STRATEGY_SELECTION,src/agent_workflows/agent_run.py:31,request.strategy branch,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/agent_workflows/agent_run.py::AgentRunWorkflow.run,src/agent_workflows/plan_execute.py::PlanAndExecuteWorkflow.run,WORKFLOW_STRATEGY_SELECTION,src/agent_workflows/agent_run.py:33,request.strategy branch,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/orchestration/web_dispatcher.py::TemporalClientAdapter.start_web_run,src/orchestration/web_workflow.py::WebRunWorkflow.run,WORKFLOW_START_SELECTION,src/orchestration/web_dispatcher.py:202,DURABLE_AGENT_ENABLED=false for NEW starts,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/orchestration/web_dispatcher.py::TemporalClientAdapter.start_web_run,src/orchestration/durable_web_workflow.py::DurableWebRunWorkflow.run,WORKFLOW_START_SELECTION,src/orchestration/web_dispatcher.py:200,DURABLE_AGENT_ENABLED=true for NEW starts,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
