path,key,default,evidence
src/web_api/config.py,WORKER_DATABASE_URL,,src/web_api/config.py:122
src/web_api/config.py,WEB_FAKE_EXECUTOR_MODE,'success',src/web_api/config.py:144
src/web_api/config.py,WEB_FAKE_EXECUTOR_CONTENT,'这是由测试执行器生成的回复。',src/web_api/config.py:145
src/web_api/config.py,WEB_FAKE_EXECUTOR_FAILURE_CODE,'fake_executor_failure',src/web_api/config.py:148
src/web_api/config.py,FILE_STORE_ROOT,'.data/file-store',src/web_api/config.py:163
src/web_api/config.py,RUN_BUDGET_MODE,'observe',src/web_api/config.py:168
src/web_api/config.py,RUN_BUDGET_POLICY_VERSION,'file-p0-v1',src/web_api/config.py:169
src/web_api/config.py,QQ_BINDING_CHALLENGE_SECONDS,'300',src/web_api/config.py:134
src/web_api/config.py,WEB_FAKE_EXECUTOR_DELAY_SECONDS,'0.05',src/web_api/config.py:142
src/web_api/config.py,FILE_MAX_BYTES,str(128 * 1024 * 1024),src/web_api/config.py:164
src/web_api/config.py,FILE_MAX_COUNT_PER_MESSAGE,'10',src/web_api/config.py:166
src/web_api/config.py,REDIS_URL,,src/web_api/config.py:172
src/web_api/config.py,WEB_SSE_HANDSHAKE_BUFFER_EVENTS,'256',src/web_api/config.py:174
src/web_api/config.py,WEB_SSE_HANDSHAKE_BUFFER_BYTES,str(1 * 1024 * 1024),src/web_api/config.py:177
src/web_api/config.py,WEB_SSE_KEEPALIVE_SECONDS,'15.0',src/web_api/config.py:179
src/web_api/config.py,WEB_SSE_MAX_CONNECTIONS,'256',src/web_api/config.py:180
src/web_api/config.py,WEB_TERMINAL_PUBLISHER_POLL_SECONDS,'0.5',src/web_api/config.py:182
src/web_api/config.py,WEB_COOKIE_SECURE,'true',src/web_api/config.py:138
src/web_api/config.py,WEB_FAKE_EXECUTOR_ENABLED,'false',src/web_api/config.py:139
src/web_api/config.py,WEB_REAL_AGENT_ENABLED,'false',src/web_api/config.py:151
src/web_api/config.py,DURABLE_AGENT_ENABLED,'false',src/web_api/config.py:152
src/web_api/config.py,WEB_FILE_UPLOAD_ENABLED,'false',src/web_api/config.py:154
src/web_api/config.py,WEB_FILE_TRANSFORM_ENABLED,'false',src/web_api/config.py:157
src/web_api/config.py,WEB_FILE_SHELL_ENABLED,'false',src/web_api/config.py:160
test/test_document_temporal_integration.py,TEMPORAL_HOST,,test/test_document_temporal_integration.py:37
test/test_document_temporal_integration.py,TEMPORAL_HOST,,test/test_document_temporal_integration.py:76
test/test_durable_agent_temporal_integration.py,TEMPORAL_HOST,,test/test_durable_agent_temporal_integration.py:128
test/test_durable_agent_temporal_integration.py,TEMPORAL_HOST,,test/test_durable_agent_temporal_integration.py:175
test/test_durable_agent_temporal_integration.py,TEMPORAL_NAMESPACE,'default',test/test_durable_agent_temporal_integration.py:132
test/test_durable_agent_temporal_integration.py,TEMPORAL_NAMESPACE,'default',test/test_durable_agent_temporal_integration.py:179
test/test_durable_agent_worker_kill.py,TEMPORAL_HOST,,test/test_durable_agent_worker_kill.py:120
test/test_durable_agent_worker_kill.py,TEMPORAL_NAMESPACE,'default',test/test_durable_agent_worker_kill.py:123
test/test_research_temporal_integration.py,TEMPORAL_HOST,,test/test_research_temporal_integration.py:125
test/test_research_temporal_integration.py,TEMPORAL_TEST_NAMESPACE,'hpagent-research-test',test/test_research_temporal_integration.py:130
test/test_research_worker_kill.py,TEMPORAL_HOST,,test/test_research_worker_kill.py:42
test/test_research_worker_kill.py,TEMPORAL_TEST_NAMESPACE,'hpagent-research-test',test/test_research_worker_kill.py:45
test/test_tool_execution_approval_temporal.py,TEMPORAL_HOST,,test/test_tool_execution_approval_temporal.py:76
test/test_tool_execution_approval_temporal.py,TEMPORAL_NAMESPACE,'default',test/test_tool_execution_approval_temporal.py:79
test/test_web_temporal_integration.py,TEMPORAL_HOST,,test/test_web_temporal_integration.py:107
test/test_web_temporal_integration.py,TEMPORAL_HOST,,test/test_web_temporal_integration.py:149
test/test_web_temporal_integration.py,TEMPORAL_HOST,,test/test_web_temporal_integration.py:228
test/test_web_temporal_integration.py,TEMPORAL_HOST,,test/test_web_temporal_integration.py:287
test/web_api/conftest.py,REDIS_URL,,test/web_api/conftest.py:18
test/web_api/conftest.py,MIGRATION_DATABASE_URL,,test/web_api/conftest.py:42
test/web_api/conftest.py,APP_DATABASE_URL,,test/web_api/conftest.py:51
test/web_api/conftest.py,WORKER_DATABASE_URL,,test/web_api/conftest.py:59
test/web_persistence/conftest.py,APP_DATABASE_URL,,test/web_persistence/conftest.py:15
test/web_persistence/conftest.py,WORKER_DATABASE_URL,,test/web_persistence/conftest.py:32
test/web_persistence/conftest.py,MIGRATION_DATABASE_URL,,test/web_persistence/conftest.py:14
test/web_persistence/conftest.py,APP_DATABASE_URL,,test/web_persistence/conftest.py:14
test/web_persistence/conftest.py,MIGRATION_DATABASE_URL,,test/web_persistence/conftest.py:24
test/web_persistence/conftest.py,APP_DATABASE_URL,,test/web_persistence/conftest.py:24
test/web_persistence/test_durable_agent_activity_worker_kill.py,TEMPORAL_HOST,,test/web_persistence/test_durable_agent_activity_worker_kill.py:78
test/web_persistence/test_durable_agent_activity_worker_kill.py,TEMPORAL_NAMESPACE,'default',test/web_persistence/test_durable_agent_activity_worker_kill.py:81
test/web_persistence/test_f4_2_approval_temporal.py,TEMPORAL_HOST,,test/web_persistence/test_f4_2_approval_temporal.py:72
test/web_persistence/test_f4_2_approval_temporal.py,TEMPORAL_NAMESPACE,'default',test/web_persistence/test_f4_2_approval_temporal.py:100
test/web_persistence/test_research_schedule_temporal_integration.py,TEMPORAL_HOST,,test/web_persistence/test_research_schedule_temporal_integration.py:36
test/web_persistence/test_web_artifacts.py,TEMPORAL_HOST,,test/web_persistence/test_web_artifacts.py:132
test/web_persistence/test_web_temporal_e2e.py,TEMPORAL_HOST,,test/web_persistence/test_web_temporal_e2e.py:72
