source,target,edge_type,evidence,config_gates,confidence,detail
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::WriteSheetRangeInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_write.py:308,Web file tools enabled; selected tool=write_sheet_range,HIGH,
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::create_file_write_tools.replace_slide,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_write.py:309,Web file tools enabled; selected tool=replace_slide,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::ReplaceSlideInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_write.py:309,Web file tools enabled; selected tool=replace_slide,HIGH,
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::create_file_write_tools.save_persistent_file,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_write.py:310,Web file tools enabled; selected tool=save_persistent_file,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::SavePersistentFileInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_write.py:310,Web file tools enabled; selected tool=save_persistent_file,HIGH,
src/account/account_service.py::AccountService.resolve,src/account/models.py::Account,REFINED_CALL,src/account/account_service.py:75,caller branch holds,HIGH,exact lexical reference Account
src/account/account_service.py::AccountService._load,src/account/models.py::Account.from_dict,REFINED_CALL,src/account/account_service.py:50,caller branch holds,HIGH,exact lexical reference Account.from_dict
src/account/bootstrap.py::bootstrap_identity,src/account/identity.py::normalize_web_subject,REFINED_CALL,src/account/bootstrap.py:57,caller branch holds,HIGH,exact lexical reference normalize_web_subject
src/account/bootstrap.py::bootstrap_identity,src/account/identity.py::normalize_qq_subject,REFINED_CALL,src/account/bootstrap.py:58,caller branch holds,HIGH,exact lexical reference normalize_qq_subject
src/account/bootstrap.py::bootstrap_identity,src/account/bootstrap.py::_find_active_account,REFINED_CALL,src/account/bootstrap.py:64,caller branch holds,HIGH,exact lexical reference _find_active_account
src/account/bootstrap.py::bootstrap_identity,src/account/bootstrap.py::_find_active_account,REFINED_CALL,src/account/bootstrap.py:65,caller branch holds,HIGH,exact lexical reference _find_active_account
src/account/bootstrap.py::bootstrap_identity,src/account/bootstrap.py::BootstrapResult,REFINED_CALL,src/account/bootstrap.py:75,caller branch holds,HIGH,exact lexical reference BootstrapResult
src/account/bootstrap.py::bootstrap_identity,src/account/bootstrap.py::_insert_binding,REFINED_CALL,src/account/bootstrap.py:77,caller branch holds,HIGH,exact lexical reference _insert_binding
src/account/bootstrap.py::bootstrap_identity,src/account/bootstrap.py::BootstrapResult,REFINED_CALL,src/account/bootstrap.py:78,caller branch holds,HIGH,exact lexical reference BootstrapResult
src/account/bootstrap.py::bootstrap_identity,src/account/bootstrap.py::_insert_binding,REFINED_CALL,src/account/bootstrap.py:80,caller branch holds,HIGH,exact lexical reference _insert_binding
src/account/bootstrap.py::bootstrap_identity,src/account/bootstrap.py::BootstrapResult,REFINED_CALL,src/account/bootstrap.py:81,caller branch holds,HIGH,exact lexical reference BootstrapResult
src/account/bootstrap.py::bootstrap_identity,src/account/bootstrap.py::_insert_binding,REFINED_CALL,src/account/bootstrap.py:88,caller branch holds,HIGH,exact lexical reference _insert_binding
src/account/bootstrap.py::bootstrap_identity,src/account/bootstrap.py::_insert_binding,REFINED_CALL,src/account/bootstrap.py:89,caller branch holds,HIGH,exact lexical reference _insert_binding
src/account/bootstrap.py::bootstrap_identity,src/account/bootstrap.py::BootstrapResult,REFINED_CALL,src/account/bootstrap.py:90,caller branch holds,HIGH,exact lexical reference BootstrapResult
src/account/credentials.py::PostgresPasswordCredentialAdapter.verify_with_presence,src/account/identity.py::normalize_web_subject,REFINED_CALL,src/account/credentials.py:38,caller branch holds,HIGH,exact lexical reference normalize_web_subject
src/account/credentials.py::PostgresPasswordCredentialAdapter.verify_with_presence,src/persistence/uow.py::UnitOfWork.__exit__,CONTEXT_MANAGER_HOOK,src/account/credentials.py:43,,HIGH,
src/account/credentials.py::PostgresPasswordCredentialAdapter.verify_with_presence,src/persistence/uow.py::UnitOfWork,REFINED_CALL,src/account/credentials.py:43,caller branch holds,HIGH,exact lexical reference UnitOfWork
src/account/identity.py::normalize_channel_subject,src/account/identity.py::normalize_qq_subject,REFINED_CALL,src/account/identity.py:24,caller branch holds,HIGH,exact lexical reference normalize_qq_subject
src/account/identity.py::normalize_channel_subject,src/account/identity.py::normalize_web_subject,REFINED_CALL,src/account/identity.py:22,caller branch holds,HIGH,exact lexical reference normalize_web_subject
src/account/identity_binding_service.py::IdentityBindingService.get_qq_challenge,src/persistence/uow.py::UnitOfWork.__exit__,CONTEXT_MANAGER_HOOK,src/account/identity_binding_service.py:118,,HIGH,
src/account/identity_binding_service.py::IdentityBindingService.get_identity_summary,src/persistence/uow.py::UnitOfWork.__exit__,CONTEXT_MANAGER_HOOK,src/account/identity_binding_service.py:135,,HIGH,
src/account/identity_binding_service.py::IdentityBindingService.consume_qq_challenge,src/persistence/uow.py::UnitOfWork.__exit__,CONTEXT_MANAGER_HOOK,src/account/identity_binding_service.py:166,,HIGH,
src/account/identity_binding_service.py::IdentityBindingService.get_qq_challenge,src/account/identity_binding_service.py::ChallengeStatus,REFINED_CALL,src/account/identity_binding_service.py:130,caller branch holds,HIGH,exact lexical reference ChallengeStatus
src/account/identity_binding_service.py::IdentityBindingService.consume_qq_challenge,src/account/identity.py::normalize_qq_subject,REFINED_CALL,src/account/identity_binding_service.py:161,caller branch holds,HIGH,exact lexical reference normalize_qq_subject
src/account/identity_binding_service.py::IdentityBindingService.consume_qq_challenge,src/account/identity_binding_service.py::ChallengeExpired,REFINED_CALL,src/account/identity_binding_service.py:204,caller branch holds,HIGH,exact lexical reference ChallengeExpired
src/account/identity_binding_service.py::IdentityBindingService._consume_pending_qq_challenge,src/account/identity_binding_service.py::ConsumeResult,REFINED_CALL,src/account/identity_binding_service.py:271,caller branch holds,HIGH,exact lexical reference ConsumeResult
src/account/identity_binding_service.py::IdentityBindingService.create_qq_challenge,src/persistence/uow.py::UnitOfWork.__exit__,CONTEXT_MANAGER_HOOK,src/account/identity_binding_service.py:81,,HIGH,
src/account/identity_binding_service.py::IdentityBindingService.get_qq_challenge,src/persistence/uow.py::UnitOfWork,REFINED_CALL,src/account/identity_binding_service.py:118,caller branch holds,HIGH,exact lexical reference UnitOfWork
src/account/identity_binding_service.py::IdentityBindingService.get_qq_challenge,src/account/identity_binding_service.py::ChallengeNotFound,REFINED_CALL,src/account/identity_binding_service.py:126,caller branch holds,HIGH,exact lexical reference ChallengeNotFound
src/account/identity_binding_service.py::IdentityBindingService.get_identity_summary,src/persistence/uow.py::UnitOfWork,REFINED_CALL,src/account/identity_binding_service.py:135,caller branch holds,HIGH,exact lexical reference UnitOfWork
src/account/identity_binding_service.py::IdentityBindingService.consume_qq_challenge,src/account/identity_binding_service.py::ChallengeNotFound,REFINED_CALL,src/account/identity_binding_service.py:163,caller branch holds,HIGH,exact lexical reference ChallengeNotFound
src/account/identity_binding_service.py::IdentityBindingService.consume_qq_challenge,src/persistence/uow.py::UnitOfWork,REFINED_CALL,src/account/identity_binding_service.py:166,caller branch holds,HIGH,exact lexical reference UnitOfWork
src/account/identity_binding_service.py::IdentityBindingService._consume_pending_qq_challenge,src/account/identity_binding_service.py::IdentityConflict,REFINED_CALL,src/account/identity_binding_service.py:221,caller branch holds,HIGH,exact lexical reference IdentityConflict
src/account/identity_binding_service.py::IdentityBindingService._consolidate_empty_web_account,src/account/identity_binding_service.py::IdentityConflict,REFINED_CALL,src/account/identity_binding_service.py:291,caller branch holds,HIGH,exact lexical reference IdentityConflict
src/account/identity_binding_service.py::IdentityBindingService._consolidate_empty_web_account,src/account/identity_binding_service.py::IdentityConflict,REFINED_CALL,src/account/identity_binding_service.py:297,caller branch holds,HIGH,exact lexical reference IdentityConflict
src/account/identity_binding_service.py::IdentityBindingService._consolidate_empty_web_account,src/account/identity_binding_service.py::IdentityConflict,REFINED_CALL,src/account/identity_binding_service.py:303,caller branch holds,HIGH,exact lexical reference IdentityConflict
src/account/identity_binding_service.py::IdentityBindingService.create_qq_challenge,src/account/identity_binding_service.py::CreatedChallenge,REFINED_CALL,src/account/identity_binding_service.py:110,caller branch holds,HIGH,exact lexical reference CreatedChallenge
src/account/identity_binding_service.py::IdentityBindingService.consume_qq_challenge,src/account/identity_binding_service.py::ChallengeNotFound,REFINED_CALL,src/account/identity_binding_service.py:173,caller branch holds,HIGH,exact lexical reference ChallengeNotFound
src/account/identity_binding_service.py::IdentityBindingService.consume_qq_challenge,src/account/identity_binding_service.py::ChallengeNotFound,REFINED_CALL,src/account/identity_binding_service.py:185,caller branch holds,HIGH,exact lexical reference ChallengeNotFound
src/account/identity_binding_service.py::IdentityBindingService.consume_qq_challenge,src/account/identity_binding_service.py::ChallengeNotFound,REFINED_CALL,src/account/identity_binding_service.py:187,caller branch holds,HIGH,exact lexical reference ChallengeNotFound
src/account/identity_binding_service.py::IdentityBindingService._consume_pending_qq_challenge,src/account/identity_binding_service.py::IdentityConflict,REFINED_CALL,src/account/identity_binding_service.py:238,caller branch holds,HIGH,exact lexical reference IdentityConflict
src/account/identity_binding_service.py::IdentityBindingService._consolidate_empty_web_account,src/account/identity_binding_service.py::IdentityConflict,REFINED_CALL,src/account/identity_binding_service.py:319,caller branch holds,HIGH,exact lexical reference IdentityConflict
src/account/identity_binding_service.py::IdentityBindingService.create_qq_challenge,src/persistence/uow.py::UnitOfWork,REFINED_CALL,src/account/identity_binding_service.py:81,caller branch holds,HIGH,exact lexical reference UnitOfWork
src/account/identity_binding_service.py::IdentityBindingService.get_identity_summary,src/account/identity_binding_service.py::mask_qq_subject,REFINED_CALL,src/account/identity_binding_service.py:150,caller branch holds,HIGH,exact lexical reference mask_qq_subject
src/account/identity_binding_service.py::IdentityBindingService._consume_pending_qq_challenge,src/account/identity_binding_service.py::IdentityConflict,REFINED_CALL,src/account/identity_binding_service.py:253,caller branch holds,HIGH,exact lexical reference IdentityConflict
src/account/identity_binding_service.py::IdentityBindingService.create_qq_challenge,src/account/identity_binding_service.py::IdentityConflict,REFINED_CALL,src/account/identity_binding_service.py:92,caller branch holds,HIGH,exact lexical reference IdentityConflict
src/account/identity_binding_service.py::IdentityBindingService.consume_qq_challenge,src/account/identity_binding_service.py::ConsumeResult,REFINED_CALL,src/account/identity_binding_service.py:182,caller branch holds,HIGH,exact lexical reference ConsumeResult
src/account/postgres_account_service.py::PostgresAccountService.normalize_subject,src/account/identity.py::normalize_channel_subject,REFINED_CALL,src/account/postgres_account_service.py:61,caller branch holds,HIGH,exact lexical reference normalize_channel_subject
src/account/postgres_account_service.py::PostgresAccountService._resolve_sync,src/account/postgres_account_service.py::IdentityResolutionUnavailable,REFINED_CALL,src/account/postgres_account_service.py:97,caller branch holds,HIGH,exact lexical reference IdentityResolutionUnavailable
src/account/registration_service.py::RegistrationService.register,src/account/identity.py::normalize_web_subject,REFINED_CALL,src/account/registration_service.py:47,caller branch holds,HIGH,exact lexical reference normalize_web_subject
src/account/registration_service.py::RegistrationService.register,src/persistence/uow.py::UnitOfWork.__exit__,CONTEXT_MANAGER_HOOK,src/account/registration_service.py:56,,HIGH,
src/account/registration_service.py::RegistrationService.register,src/account/registration_service.py::RegistrationResult,REFINED_CALL,src/account/registration_service.py:74,caller branch holds,HIGH,exact lexical reference RegistrationResult
src/account/registration_service.py::RegistrationService.register,src/account/registration_service.py::InvalidUsername,REFINED_CALL,src/account/registration_service.py:49,caller branch holds,HIGH,exact lexical reference InvalidUsername
src/account/registration_service.py::RegistrationService.register,src/account/registration_service.py::InvalidPassword,REFINED_CALL,src/account/registration_service.py:51,caller branch holds,HIGH,exact lexical reference InvalidPassword
src/account/registration_service.py::RegistrationService.register,src/persistence/uow.py::UnitOfWork,REFINED_CALL,src/account/registration_service.py:56,caller branch holds,HIGH,exact lexical reference UnitOfWork
src/account/registration_service.py::RegistrationService.register,src/account/registration_service.py::UsernameAlreadyExists,REFINED_CALL,src/account/registration_service.py:71,caller branch holds,HIGH,exact lexical reference UsernameAlreadyExists
src/actions/runtime.py::ActionRuntime.execute_request,src/agent/protocol.py::ActionResult.from_runtime_result,REFINED_CALL,src/actions/runtime.py:217,caller branch holds,HIGH,exact lexical reference ActionResult.from_runtime_result
src/actions/runtime.py::ActionRuntime.reset_turn,src/sandbox/sandbox_manager.py::SandboxManager.get_sandbox_for_session,COMPOSITION_BOUND_CALL,src/actions/runtime.py:68;src/bootstrap/qq.py:87,injected concrete service; request/config branch,HIGH,self._sandbox.get_sandbox_for_session -> src/sandbox/sandbox_manager.py::SandboxManager
src/actions/runtime.py::ActionRuntime.select_tools,src/sandbox/sandbox_manager.py::SandboxManager.get_sandbox_for_session,COMPOSITION_BOUND_CALL,src/actions/runtime.py:100;src/bootstrap/qq.py:87,injected concrete service; request/config branch,HIGH,self._sandbox.get_sandbox_for_session -> src/sandbox/sandbox_manager.py::SandboxManager
src/actions/runtime.py::ActionRuntime.execute,src/sandbox/sandbox_manager.py::SandboxManager.get_sandbox_for_session,COMPOSITION_BOUND_CALL,src/actions/runtime.py:147;src/bootstrap/qq.py:87,injected concrete service; request/config branch,HIGH,self._sandbox.get_sandbox_for_session -> src/sandbox/sandbox_manager.py::SandboxManager
src/actions/runtime.py::ActionRuntime.side_effect_class,src/sandbox/sandbox_manager.py::SandboxManager.get_sandbox_for_session,COMPOSITION_BOUND_CALL,src/actions/runtime.py:228;src/bootstrap/qq.py:87,injected concrete service; request/config branch,HIGH,self._sandbox.get_sandbox_for_session -> src/sandbox/sandbox_manager.py::SandboxManager
src/actions/runtime.py::ActionRuntime.budget_reservation,src/sandbox/sandbox_manager.py::SandboxManager.get_sandbox_for_session,COMPOSITION_BOUND_CALL,src/actions/runtime.py:241;src/bootstrap/qq.py:87,injected concrete service; request/config branch,HIGH,self._sandbox.get_sandbox_for_session -> src/sandbox/sandbox_manager.py::SandboxManager
src/actions/runtime.py::ActionRuntime._summarize_if_needed,src/harness/prompts.py::PromptLoader.get_tool_summary_hint,COMPOSITION_BOUND_CALL,src/actions/runtime.py:296;src/bootstrap/qq.py:87,injected concrete service; request/config branch,HIGH,self._prompts.get_tool_summary_hint -> src/harness/prompts.py::PromptLoader
src/actions/runtime.py::ActionRuntime._summarize_if_needed,src/harness/prompts.py::PromptLoader.get_tool_summary_template,COMPOSITION_BOUND_CALL,src/actions/runtime.py:297;src/bootstrap/qq.py:87,injected concrete service; request/config branch,HIGH,self._prompts.get_tool_summary_template -> src/harness/prompts.py::PromptLoader
src/actions/runtime.py::ActionRuntime._snapshot_context,src/common/token_counter.py::estimate_messages_tokens,REFINED_CALL,src/actions/runtime.py:370,caller branch holds,HIGH,exact lexical reference estimate_messages_tokens
src/actions/runtime.py::ActionRuntime.execute_request,src/sandbox/sandbox_manager.py::SandboxManager.get_sandbox_for_session,COMPOSITION_BOUND_CALL,src/actions/runtime.py:182;src/bootstrap/qq.py:87,injected concrete service; request/config branch,HIGH,self._sandbox.get_sandbox_for_session -> src/sandbox/sandbox_manager.py::SandboxManager
src/actions/runtime.py::ActionRuntime.execute_request,src/agent/protocol.py::ActionRequest,REFINED_CALL,src/actions/runtime.py:193,caller branch holds,HIGH,exact lexical reference ActionRequest
src/actions/runtime.py::ActionRuntime._summarize_if_needed,src/resources/resource_pool.py::ResourcePool.generate,COMPOSITION_BOUND_CALL,src/actions/runtime.py:316;src/bootstrap/qq.py:87,injected concrete service; request/config branch,HIGH,self._model.generate -> src/resources/resource_pool.py::ResourcePool
src/actions/runtime.py::ActionRuntime.select_tools,src/session/store.py::SessionStore.append_events,COMPOSITION_BOUND_CALL,src/actions/runtime.py:117;src/bootstrap/qq.py:87,injected concrete service; request/config branch,HIGH,self._session.append_events -> src/session/store.py::SessionStore
src/actions/runtime.py::ActionRuntime.select_tools,src/common/types.py::Event,REFINED_CALL,src/actions/runtime.py:117,caller branch holds,HIGH,exact lexical reference Event
src/actions/runtime.py::ActionRuntime._summarize_if_needed,src/session/store.py::SessionStore.append_events,COMPOSITION_BOUND_CALL,src/actions/runtime.py:331;src/bootstrap/qq.py:87,injected concrete service; request/config branch,HIGH,self._session.append_events -> src/session/store.py::SessionStore
src/actions/runtime.py::ActionRuntime._summarize_if_needed,src/common/types.py::Event,REFINED_CALL,src/actions/runtime.py:331,caller branch holds,HIGH,exact lexical reference Event
src/agent/adapters.py::ReActAgent.__init__,src/agent/types.py::CapabilitySpec,REFINED_CALL,src/agent/adapters.py:37,caller branch holds,HIGH,exact lexical reference CapabilitySpec
src/agent/adapters.py::ReActAgent.execute,src/agent/types.py::TaskResult,REFINED_CALL,src/agent/adapters.py:77,caller branch holds,HIGH,exact lexical reference TaskResult
src/agent/adapters.py::ReActAgent.execute,src/agent/types.py::TaskResult,REFINED_CALL,src/agent/adapters.py:53,caller branch holds,HIGH,exact lexical reference TaskResult
src/agent/adapters.py::ReActAgent.execute,src/agent/types.py::TaskResult,REFINED_CALL,src/agent/adapters.py:88,caller branch holds,HIGH,exact lexical reference TaskResult
src/agent/adapters.py::ReActAgent.execute,src/agent/types.py::ExecutionMetrics,REFINED_CALL,src/agent/adapters.py:81,caller branch holds,HIGH,exact lexical reference ExecutionMetrics
src/agent/adapters.py::ReActAgent.execute,src/agent/types.py::ExecutionMetrics,REFINED_CALL,src/agent/adapters.py:57,caller branch holds,HIGH,exact lexical reference ExecutionMetrics
src/agent/adapters.py::ReActAgent.execute,src/agent/types.py::ErrorInfo,REFINED_CALL,src/agent/adapters.py:91,caller branch holds,HIGH,exact lexical reference ErrorInfo
