path,loc,fan_in,fan_out,logical_owner,capability,runtime_roots,reachability_class,fact_flags,evidence
src/harness/context_builder.py,400,6,5,Context message assembly,P3,R1;R4;R5,PROD_CONDITIONAL,,src/harness/context_builder.py:1;src/harness/context_builder.py:36
src/agent_activities/store.py,395,12,6,Durable Agent data plane,MULTIPLE,R1;R3;R4;R5,PROD_CONDITIONAL,,src/agent_activities/store.py:1;src/agent_activities/store.py:17;src/agent_activities/store.py:21;src/agent_activities/store.py:25;src/agent_activities/store.py:30;src/agent_activities/store.py:36;src/agent_activities/store.py:43
web/src/sse/runFeed.ts,391,4,3,Web frontend,S2,R7,PROD_CONDITIONAL,,web/src/sse/runFeed.ts:1
src/actions/runtime.py,373,5,7,Agent tool execution,P3,R1;R4;R5,PROD_CONDITIONAL,,src/actions/runtime.py:1;src/actions/runtime.py:23
src/account/identity_binding_service.py,365,6,12,Identity & credentials,P2,R1;R2,PROD_CONDITIONAL,,src/account/identity_binding_service.py:1;src/account/identity_binding_service.py:21;src/account/identity_binding_service.py:25;src/account/identity_binding_service.py:29;src/account/identity_binding_service.py:33;src/account/identity_binding_service.py:38;src/account/identity_binding_service.py:45;src/account/identity_binding_service.py:53;src/account/identity_binding_service.py:60
src/memory/group_context.py,357,1,5,Long-term / group memory adapters,P2,R1;R5,PROD_CONDITIONAL,,src/memory/group_context.py:1;src/memory/group_context.py:38
src/orchestration/web_dispatcher.py,356,13,20,Process lifecycle & Temporal,MULTIPLE,R1;R3;R5,PROD_CONDITIONAL,HIGH_FAN_OUT,src/orchestration/web_dispatcher.py:1;src/orchestration/web_dispatcher.py:102;src/orchestration/web_dispatcher.py:113;src/orchestration/web_dispatcher.py:117;src/orchestration/web_dispatcher.py:188;src/orchestration/web_dispatcher.py:36;src/orchestration/web_dispatcher.py:41;src/orchestration/web_dispatcher.py:87;src/orchestration/web_dispatcher.py:93
src/sandbox/tools/local/file_analysis.py,356,3,12,Tool runtime / workspace execution,P3,R1;R4;R5,PROD_CONDITIONAL,,src/sandbox/tools/local/file_analysis.py:1;src/sandbox/tools/local/file_analysis.py:149;src/sandbox/tools/local/file_analysis.py:19;src/sandbox/tools/local/file_analysis.py:28;src/sandbox/tools/local/file_analysis.py:33;src/sandbox/tools/local/file_analysis.py:40;src/sandbox/tools/local/file_analysis.py:48;src/sandbox/tools/local/file_analysis.py:54;src/sandbox/tools/local/file_analysis.py:59
src/research_domain/services.py,355,4,14,Research commands & persistence,P6,R1;R2;R3;R5,PROD_CONDITIONAL,,src/research_domain/services.py:1;src/research_domain/services.py:29;src/research_domain/services.py:33;src/research_domain/services.py:38;src/research_domain/services.py:44;src/research_domain/services.py:49
web/src/sse/runFeed.test.ts,353,0,3,Web frontend,S2,,TEST_ONLY,,web/src/sse/runFeed.test.ts:1
src/web_api/queries.py,352,3,10,Web HTTP / authentication / SSE,MULTIPLE,R2,PROD_CONDITIONAL,,src/web_api/queries.py:1;src/web_api/queries.py:132;src/web_api/queries.py:16;src/web_api/queries.py:22;src/web_api/queries.py:34;src/web_api/queries.py:56;src/web_api/queries.py:67;src/web_api/queries.py:93
src/sandbox/sandbox_manager.py,342,4,19,Tool runtime / workspace execution,P3,R1;R4;R5,PROD_CONDITIONAL,,src/sandbox/sandbox_manager.py:1;src/sandbox/sandbox_manager.py:44;src/sandbox/sandbox_manager.py:52
src/sandbox/tools/local/file_write.py,338,5,9,Tool runtime / workspace execution,P3,R1;R4;R5,PROD_CONDITIONAL,,src/sandbox/tools/local/file_write.py:1;src/sandbox/tools/local/file_write.py:17;src/sandbox/tools/local/file_write.py:23;src/sandbox/tools/local/file_write.py:29;src/sandbox/tools/local/file_write.py:34;src/sandbox/tools/local/file_write.py:40;src/sandbox/tools/local/file_write.py:45;src/sandbox/tools/local/file_write.py:51;src/sandbox/tools/local/file_write.py:57
web/src/api/client.test.ts,325,0,3,Web frontend,P1,,TEST_ONLY,,web/src/api/client.test.ts:1
src/file_domain/persistent.py,319,4,15,Persistent file revision domain and SQL,P5,R1;R2;R4;R5,PROD_CONDITIONAL,PACKAGE_BOUNDARY_CROSSING,src/file_domain/persistent.py:1;src/file_domain/persistent.py:144;src/file_domain/persistent.py:23;src/file_domain/persistent.py:28;src/file_domain/persistent.py:39;src/file_domain/persistent.py:50
src/workspace/isolation.py,313,10,13,Shared workspace locking and recovery,P4,R1;R4;R5,PROD_CONDITIONAL,,src/workspace/isolation.py:1;src/workspace/isolation.py:129;src/workspace/isolation.py:17;src/workspace/isolation.py:22;src/workspace/isolation.py:26;src/workspace/isolation.py:32;src/workspace/isolation.py:45;src/workspace/isolation.py:51;src/workspace/isolation.py:92
src/orchestration/scheduler.py,301,2,12,Reminder scheduling,P1,R1;R4;R5,PROD_CONDITIONAL,,src/orchestration/scheduler.py:1;src/orchestration/scheduler.py:31;src/orchestration/scheduler.py:65
src/session/workspace.py,301,4,11,Workspace provisioning,P3,R1,PROD_CONDITIONAL,,src/session/workspace.py:1;src/session/workspace.py:118;src/session/workspace.py:138;src/session/workspace.py:173;src/session/workspace.py:187;src/session/workspace.py:202;src/session/workspace.py:294;src/session/workspace.py:42;src/session/workspace.py:64
src/common/types.py,299,25,5,Shared contracts / telemetry,MULTIPLE,R1;R4;R5,PROD_CONDITIONAL,HIGH_FAN_IN,src/common/types.py:1;src/common/types.py:100;src/common/types.py:159;src/common/types.py:209;src/common/types.py:236;src/common/types.py:34;src/common/types.py:64;src/common/types.py:76;src/common/types.py:89
src/storage/tenant_file_store.py,297,17,9,Tenant file object storage,P5,R1;R2;R3;R4;R5;R6,PROD_CONDITIONAL,HIGH_FAN_IN,src/storage/tenant_file_store.py:1;src/storage/tenant_file_store.py:18;src/storage/tenant_file_store.py:22;src/storage/tenant_file_store.py:26;src/storage/tenant_file_store.py:276;src/storage/tenant_file_store.py:30;src/storage/tenant_file_store.py:35;src/storage/tenant_file_store.py:43;src/storage/tenant_file_store.py:49
web/src/api/types.ts,295,21,0,Web frontend,P1,R7,PROD_CONDITIONAL,HIGH_FAN_IN,web/src/api/types.ts:1
src/sandbox/tools/retriever.py,284,2,9,Tool runtime / workspace execution,P3,R1;R5,PROD_CONDITIONAL,,src/sandbox/tools/retriever.py:1;src/sandbox/tools/retriever.py:184;src/sandbox/tools/retriever.py:22;src/sandbox/tools/retriever.py:33;src/sandbox/tools/retriever.py:43
web/src/api/client.ts,280,14,1,Web frontend,P1,R7,PROD_CONDITIONAL,,web/src/api/client.ts:1
src/agent_workflows/contracts.py,275,24,3,Durable Agent control flow,MULTIPLE,R1;R3;R4;R5,PROD_CONDITIONAL,HIGH_FAN_IN,src/agent_workflows/contracts.py:1;src/agent_workflows/contracts.py:108;src/agent_workflows/contracts.py:17;src/agent_workflows/contracts.py:31;src/agent_workflows/contracts.py:42;src/agent_workflows/contracts.py:50;src/agent_workflows/contracts.py:57;src/agent_workflows/contracts.py:77;src/agent_workflows/contracts.py:89
src/resources/resource_pool.py,272,5,11,Model / retrieval infrastructure,P3,R1;R4;R5,PROD_CONDITIONAL,,src/resources/resource_pool.py:1;src/resources/resource_pool.py:30
src/web_domain/file_services.py,270,5,14,Web transactional domain,MULTIPLE,R2,PROD_CONDITIONAL,,src/web_domain/file_services.py:1;src/web_domain/file_services.py:56
src/orchestration/web_activities.py,269,4,18,Web lifecycle and legacy execution activities,MULTIPLE,R1;R3;R4;R5,PROD_CONDITIONAL,ARCHITECTURE_DRIFT,src/orchestration/web_activities.py:1;src/orchestration/web_activities.py:35;src/orchestration/web_activities.py:44;src/orchestration/web_activities.py:49;src/orchestration/web_activities.py:54;src/orchestration/web_activities.py:62;src/orchestration/web_activities.py:67;src/orchestration/web_activities.py:73;src/orchestration/web_activities.py:79
src/web_artifacts/services.py,265,4,12,Artifact versions,S1,R2,PROD_CONDITIONAL,,src/web_artifacts/services.py:1;src/web_artifacts/services.py:18;src/web_artifacts/services.py:23
web/src/api/resources.ts,265,7,2,Web frontend,MULTIPLE,R7,PROD_CONDITIONAL,,web/src/api/resources.ts:1
src/sandbox/tools/local/reminder.py,263,2,9,Tool runtime / workspace execution,P3,R1;R4;R5,PROD_CONDITIONAL,,src/sandbox/tools/local/reminder.py:1;src/sandbox/tools/local/reminder.py:101;src/sandbox/tools/local/reminder.py:114;src/sandbox/tools/local/reminder.py:24;src/sandbox/tools/local/reminder.py:34;src/sandbox/tools/local/reminder.py:49;src/sandbox/tools/local/reminder.py:56;src/sandbox/tools/local/reminder.py:64;src/sandbox/tools/local/reminder.py:96
src/agent_execution/run_budget.py,261,8,7,Run budget accounting,MULTIPLE,R1;R3;R5;R6,PROD_CONDITIONAL,,src/agent_execution/run_budget.py:1;src/agent_execution/run_budget.py:21;src/agent_execution/run_budget.py:25;src/agent_execution/run_budget.py:29;src/agent_execution/run_budget.py:34;src/agent_execution/run_budget.py:42;src/agent_execution/run_budget.py:55;src/agent_execution/run_budget.py:63
src/sandbox/tools/local/file_read.py,259,3,10,Tool runtime / workspace execution,P3,R1;R4;R5,PROD_CONDITIONAL,,src/sandbox/tools/local/file_read.py:1;src/sandbox/tools/local/file_read.py:24;src/sandbox/tools/local/file_read.py:28;src/sandbox/tools/local/file_read.py:32;src/sandbox/tools/local/file_read.py:38;src/sandbox/tools/local/file_read.py:43;src/sandbox/tools/local/file_read.py:49;src/sandbox/tools/local/file_read.py:54;src/sandbox/tools/local/file_read.py:62
src/application/context_assembly.py,258,6,12,Application use cases,MULTIPLE,R1;R4;R5,PROD_CONDITIONAL,,src/application/context_assembly.py:1;src/application/context_assembly.py:20;src/application/context_assembly.py:24;src/application/context_assembly.py:31;src/application/context_assembly.py:40;src/application/context_assembly.py:53
src/sandbox/git_repo.py,251,5,5,Tool runtime / workspace execution,P3,R1;R5,PROD_CONDITIONAL,,src/sandbox/git_repo.py:1;src/sandbox/git_repo.py:20
src/agent/types.py,249,26,4,Mixed protocol / experimental Multi-Agent,NONE,,EXPERIMENTAL_REJECTED,EXPERIMENTAL_CODE;HIGH_FAN_IN;PRODUCTION_REJECTED,src/agent/types.py:1;src/agent/types.py:109;src/agent/types.py:125;src/agent/types.py:137;src/agent/types.py:23;src/agent/types.py:39;src/agent/types.py:54;src/agent/types.py:71;src/agent/types.py:90;src/orchestration/worker.py:803;src/agent/__init__.py:16
src/orchestration/workflow.py,248,2,6,Process lifecycle & Temporal,MULTIPLE,R1,PROD_CONDITIONAL,,src/orchestration/workflow.py:1;src/orchestration/workflow.py:208;src/orchestration/workflow.py:23;src/orchestration/workflow.py:231
src/application/conversation.py,247,4,9,Application use cases,MULTIPLE,R1,PROD_CONDITIONAL,,src/application/conversation.py:1;src/application/conversation.py:25;src/application/conversation.py:41
src/file_domain/approvals.py,243,6,13,File contracts & persistence,P5,R1;R2;R3;R4;R5,PROD_CONDITIONAL,,src/file_domain/approvals.py:1;src/file_domain/approvals.py:24;src/file_domain/approvals.py:28;src/file_domain/approvals.py:33;src/file_domain/approvals.py:47;src/file_domain/approvals.py:53
src/research_adapters/web.py,243,2,12,Research external providers,P6,R1;R3;R5,PROD_CONDITIONAL,,src/research_adapters/web.py:1;src/research_adapters/web.py:111;src/research_adapters/web.py:147;src/research_adapters/web.py:22;src/research_adapters/web.py:29
web/src/store/artifacts.ts,241,6,5,Web frontend,S1,R7,PROD_CONDITIONAL,,web/src/store/artifacts.ts:1
src/agent_execution/tracing/sink.py,240,2,9,Run trace persistence and events,S2,R1;R4;R5,PROD_CONDITIONAL,,src/agent_execution/tracing/sink.py:1;src/agent_execution/tracing/sink.py:17;src/agent_execution/tracing/sink.py:41;src/agent_execution/tracing/sink.py:45;src/agent_execution/tracing/sink.py:78
src/agent/orchestrator.py,239,9,8,Mixed protocol / experimental Multi-Agent,NONE,,EXPERIMENTAL_REJECTED,EXPERIMENTAL_CODE;PRODUCTION_REJECTED,src/agent/orchestrator.py:1;src/agent/orchestrator.py:39;src/orchestration/worker.py:803;src/agent/__init__.py:16
src/application/memory.py,235,1,4,Application use cases,MULTIPLE,R1;R5,PROD_CONDITIONAL,,src/application/memory.py:1;src/application/memory.py:16
src/agent_execution/web_events.py,226,5,9,Agent execution hosts & tracing,MULTIPLE,R1;R2;R5,PROD_CONDITIONAL,,src/agent_execution/web_events.py:1;src/agent_execution/web_events.py:51;src/agent_execution/web_events.py:59;src/agent_execution/web_events.py:63;src/agent_execution/web_events.py:71
src/research_adapters/discovery.py,221,2,13,Research external providers,P6,R1;R3;R5,PROD_CONDITIONAL,,src/research_adapters/discovery.py:1;src/research_adapters/discovery.py:148;src/research_adapters/discovery.py:20;src/research_adapters/discovery.py:26;src/research_adapters/discovery.py:40;src/research_adapters/discovery.py:96
src/agent/runner.py,216,2,8,Mixed protocol / experimental Multi-Agent,NONE,,EXPERIMENTAL_REJECTED,EXPERIMENTAL_CODE;PRODUCTION_REJECTED,src/agent/runner.py:1;src/agent/runner.py:41;src/orchestration/worker.py:803;src/agent/__init__.py:16
src/orchestration/durable_web_workflow.py,215,6,9,Process lifecycle & Temporal,MULTIPLE,R1;R3;R5,PROD_CONDITIONAL,ARCHITECTURE_DRIFT;HISTORY_COMPATIBILITY;MIGRATION_GATE,src/orchestration/durable_web_workflow.py:1;src/orchestration/durable_web_workflow.py:44;src/orchestration/durable_web_workflow.py:50;src/orchestration/durable_web_workflow.py:71;src/orchestration/durable_web_workflow.py:75;src/orchestration/durable_web_workflow.py:86
src/agent/llm_agent.py,208,3,7,Mixed protocol / experimental Multi-Agent,NONE,,EXPERIMENTAL_REJECTED,EXPERIMENTAL_CODE;PRODUCTION_REJECTED,src/agent/llm_agent.py:1;src/agent/llm_agent.py:30;src/orchestration/worker.py:803;src/agent/__init__.py:16
src/agent_workflows/plan_execute.py,208,6,7,Durable Agent control flow,MULTIPLE,R1;R3;R4;R5,PROD_CONDITIONAL,,src/agent_workflows/plan_execute.py:1;src/agent_workflows/plan_execute.py:27
src/document_activities/runtime.py,206,1,13,Heavy document execution,P5,R6,PROD_CONDITIONAL,,src/document_activities/runtime.py:1;src/document_activities/runtime.py:22
src/orchestration/web_workflow.py,206,19,8,Process lifecycle & Temporal,MULTIPLE,R1;R3;R4;R5,PROD_CONDITIONAL,HIGH_FAN_IN;HISTORY_COMPATIBILITY;MIGRATION_GATE,src/orchestration/web_workflow.py:1;src/orchestration/web_workflow.py:33;src/orchestration/web_workflow.py:46;src/orchestration/web_workflow.py:52;src/orchestration/web_workflow.py:86
web/src/adapters/assistant-ui/HpThread.tsx,205,1,9,Web frontend,P1,R7,PROD_CONDITIONAL,,web/src/adapters/assistant-ui/HpThread.tsx:1
src/sandbox/sandbox.py,204,2,8,Tool runtime / workspace execution,P3,R1;R4;R5,PROD_CONDITIONAL,,src/sandbox/sandbox.py:1;src/sandbox/sandbox.py:23
src/file_adapters/writers.py,198,1,8,Document format providers,P5,R1;R4;R5,PROD_CONDITIONAL,,src/file_adapters/writers.py:1;src/file_adapters/writers.py:101;src/file_adapters/writers.py:12;src/file_adapters/writers.py:146;src/file_adapters/writers.py:24;src/file_adapters/writers.py:31
src/orchestration/web_workers.py,197,9,20,Process lifecycle & Temporal,MULTIPLE,R1;R5,PROD_CONDITIONAL,HIGH_FAN_OUT;HISTORY_COMPATIBILITY;MIGRATION_GATE,src/orchestration/web_workers.py:1;src/orchestration/web_workers.py:108;src/orchestration/web_workers.py:152;src/orchestration/web_workers.py:53;src/orchestration/web_workers.py:58;src/orchestration/web_workers.py:80
src/workspace/file_scope.py,196,22,10,Run file execution scope,P5,R1;R3;R4;R5;R6,PROD_CONDITIONAL,HIGH_FAN_IN,src/workspace/file_scope.py:1;src/workspace/file_scope.py:16;src/workspace/file_scope.py:21;src/workspace/file_scope.py:32;src/workspace/file_scope.py:55
src/application/reply.py,193,2,7,Application use cases,MULTIPLE,R1;R5,PROD_CONDITIONAL,,src/application/reply.py:1;src/application/reply.py:23
src/agent_execution/tracing/repository.py,192,5,10,Run trace persistence and events,S2,R1;R2;R3;R5;R6,PROD_CONDITIONAL,,src/agent_execution/tracing/repository.py:1;src/agent_execution/tracing/repository.py:19
src/brain/engine.py,192,3,5,Model decisions,P3,R1;R4;R5,PROD_CONDITIONAL,,src/brain/engine.py:1;src/brain/engine.py:19
src/storage/redis.py,192,2,6,Storage adapters,MULTIPLE,R1;R5,PROD_CONDITIONAL,,src/storage/redis.py:1;src/storage/redis.py:26;src/storage/redis.py:91
src/agent_workflows/react.py,191,8,7,Durable Agent control flow,MULTIPLE,R1;R3;R4;R5,PROD_CONDITIONAL,,src/agent_workflows/react.py:1;src/agent_workflows/react.py:44;src/agent_workflows/react.py:53;src/agent_workflows/react.py:73
src/orchestration/research_workflow.py,191,13,8,Fixed Research control flow,P6,R1;R3;R5,PROD_CONDITIONAL,,src/orchestration/research_workflow.py:1;src/orchestration/research_workflow.py:106;src/orchestration/research_workflow.py:23;src/orchestration/research_workflow.py:33;src/orchestration/research_workflow.py:48;src/orchestration/research_workflow.py:64;src/orchestration/research_workflow.py:82
src/research_domain/models.py,191,12,6,Research commands & persistence,P6,R1;R2;R3;R5,PROD_CONDITIONAL,,src/research_domain/models.py:1;src/research_domain/models.py:112;src/research_domain/models.py:132;src/research_domain/models.py:144;src/research_domain/models.py:18;src/research_domain/models.py:60;src/research_domain/models.py:67;src/research_domain/models.py:86;src/research_domain/models.py:98
src/orchestration/web_worker.py,188,0,15,Process lifecycle & Temporal,MULTIPLE,R5,PROD_CONDITIONAL,PRODUCTION_REJECTED,src/orchestration/web_worker.py:1;src/orchestration/web_worker.py:182;src/orchestration/web_worker.py:72
src/agent_execution/facade.py,186,16,5,Agent execution hosts & tracing,MULTIPLE,R1;R4;R5,PROD_CONDITIONAL,HIGH_FAN_IN,src/agent_execution/facade.py:1;src/agent_execution/facade.py:10;src/agent_execution/facade.py:113;src/agent_execution/facade.py:17;src/agent_execution/facade.py:33;src/agent_execution/facade.py:39;src/agent_execution/facade.py:48;src/agent_execution/facade.py:59;src/agent_execution/facade.py:79
src/sandbox/tools/skills/engine.py,186,2,5,Tool runtime / workspace execution,P3,R1;R4;R5,PROD_CONDITIONAL,,src/sandbox/tools/skills/engine.py:1;src/sandbox/tools/skills/engine.py:106;src/sandbox/tools/skills/engine.py:139;src/sandbox/tools/skills/engine.py:16;src/sandbox/tools/skills/engine.py:162;src/sandbox/tools/skills/engine.py:93
src/web_api/config.py,184,10,4,Web HTTP / authentication / SSE,MULTIPLE,R2,PROD_CONDITIONAL,,src/web_api/config.py:1;src/web_api/config.py:13;src/web_api/config.py:8
src/web_api/fake_executor.py,184,1,13,Web development execution simulator,NONE,R2,DEV_ONLY,DEV_ONLY_USAGE,src/web_api/fake_executor.py:1;src/web_api/fake_executor.py:142;src/web_api/fake_executor.py:152;src/web_api/fake_executor.py:19
src/resources/credentials.py,181,5,4,Model / retrieval infrastructure,P3,R1;R5,PROD_CONDITIONAL,,src/resources/credentials.py:1;src/resources/credentials.py:19;src/resources/credentials.py:31;src/resources/credentials.py:50
src/sandbox/nsjail.py,181,4,10,Tool runtime / workspace execution,P3,R1;R4;R5,PROD_CONDITIONAL,,src/sandbox/nsjail.py:1;src/sandbox/nsjail.py:26;src/sandbox/nsjail.py:89
src/agent/factory.py,177,3,10,Mixed protocol / experimental Multi-Agent,NONE,,EXPERIMENTAL_REJECTED,EXPERIMENTAL_CODE;PRODUCTION_REJECTED,src/agent/factory.py:1;src/agent/factory.py:113;src/agent/factory.py:152;src/agent/factory.py:40;src/agent/factory.py:78;src/orchestration/worker.py:803;src/agent/__init__.py:16
web/src/components/ChatPane.tsx,175,1,10,Web frontend,MULTIPLE,R7,PROD_CONDITIONAL,,web/src/components/ChatPane.tsx:1
web/src/components/trace/traceStore.ts,174,7,5,Web frontend,S2,R7,PROD_CONDITIONAL,,web/src/components/trace/traceStore.ts:1
src/agent_execution/web_host.py,173,6,10,Agent execution hosts & tracing,MULTIPLE,R1;R4;R5,PROD_CONDITIONAL,,src/agent_execution/web_host.py:1;src/agent_execution/web_host.py:27;src/agent_execution/web_host.py:31;src/agent_execution/web_host.py:35;src/agent_execution/web_host.py:39;src/agent_execution/web_host.py:52
src/web_api/terminal_publisher.py,167,1,11,Web terminal outbox projection,S2,R2,PROD_CONDITIONAL,,src/web_api/terminal_publisher.py:1;src/web_api/terminal_publisher.py:41
web/src/App.test.tsx,167,0,6,Web frontend,P1,,TEST_ONLY,,web/src/App.test.tsx:1
src/application/ingress.py,165,3,6,Application use cases,MULTIPLE,R1,PROD_CONDITIONAL,,src/application/ingress.py:1;src/application/ingress.py:27
src/agent_execution/web_adapters.py,159,4,12,Agent execution hosts & tracing,MULTIPLE,R1;R4;R5,PROD_CONDITIONAL,,src/agent_execution/web_adapters.py:1;src/agent_execution/web_adapters.py:112;src/agent_execution/web_adapters.py:120;src/agent_execution/web_adapters.py:25;src/agent_execution/web_adapters.py:45
src/web_api/auth.py,159,2,14,Web HTTP / authentication / SSE,MULTIPLE,R2,PROD_CONDITIONAL,,src/web_api/auth.py:1;src/web_api/auth.py:21;src/web_api/auth.py:25;src/web_api/auth.py:49;src/web_api/auth.py:60
web/src/store/artifacts.test.ts,157,0,5,Web frontend,S1,,TEST_ONLY,,web/src/store/artifacts.test.ts:1
web/src/sse/sseClient.test.ts,155,0,2,Web frontend,S2,,TEST_ONLY,,web/src/sse/sseClient.test.ts:1
src/session/db.py,153,4,5,Workspace metadata persistence,P3,R1;R5,PROD_CONDITIONAL,,src/session/db.py:1;src/session/db.py:43
src/resources/reranker.py,152,1,8,Model / retrieval infrastructure,P3,R1;R5,PROD_CONDITIONAL,,src/resources/reranker.py:1;src/resources/reranker.py:119;src/resources/reranker.py:27;src/resources/reranker.py:34
