commit	date	subject
e37d58020c9b4a5d51738d1011d46e619d37f8ac	2026-09-04T03:11:42+08:00	fix(file): close F0-F3 runtime gaps
800558e35911f4ac335720f936cf365d589ce643	2026-09-03T19:25:02+08:00	docs(file): map F0-F4 implementation drift
321dd2c5bf3d12e977538498df083ce9c84fd148	2026-09-03T19:23:06+08:00	feat(file): implement assistant F0-F4 foundations
dad90a5c6a16f153243ea6c17e866d73f4f85fcc	2026-09-02T22:03:37+08:00	fix(research): refine source selection and runtime proxy
060b3d4c057b473007f2dc1925826310102dbb5d	2026-09-02T18:09:49+08:00	feat(research): complete R0-R6 runtime acceptance
8b645e26c052fe4d7282dc4e4dde349906967985	2026-08-30T19:15:08+08:00	chore(docker): add offline image deployment workflow
8f2fb7151f15710cc6e09b3d7c8a2eee214f832a	2026-08-30T18:56:32+08:00	feat(web): add file attachment composer
85e44c822630b9206f97d6e1ac0c15ef3cd341c7	2026-08-30T02:43:05+08:00	docs(web): add file workspace validation runbook
f2552ecb11b161ece5b5dd6da404e40832ce1d99	2026-08-30T02:31:52+08:00	fix(web): preserve file workspace migration compatibility
a8d069ce916cf3bc5d81b6903961a66ab6a7f5d3	2026-08-29T01:50:26+08:00	feat(web): clean expired unbound file objects
94c0ee8cc95fc6fed735e49b2d50078333e0ae49	2026-08-29T01:46:17+08:00	feat(web): fail closed on unsafe file capability config
5e144763f9aceb72a69b6bd66a872f79d11898ae	2026-08-29T01:42:11+08:00	feat(web): harden file and budget trace metadata
5d689bdbe3d7c1cf425d5cdbf0c9421f651abbf5	2026-08-29T01:33:00+08:00	feat(web): account model fallback usage by run
8a5377772e6cff840ec799653a180f65b3f13362	2026-08-29T01:27:56+08:00	feat(web): add idempotent run budget accounting
ab6f0f422a5cf440ca5131232416cb3d578d5971	2026-08-29T01:15:27+08:00	feat(web): add secure file upload and analysis scope
d94f2ed0cf026cf719cdeb14e3a9a562c2d14bce	2026-08-26T10:50:12+08:00	feat(web): add file workspace security foundation
60467d2ffe2316152ac85b2a5a13207b76d9aa09	2026-08-22T20:24:58+08:00	feat: add trace debug panel
73cabea14a48f1f83167a7287a2fee7ebfd7a912	2026-08-22T18:18:38+08:00	feat: complete agent execution tracing
0de2f29631c6b0d31feb7bca6c9e5e25ca8f9af5	2026-08-22T17:33:19+08:00	feat: add agent execution tracing foundation
8208f9c80d70e131802c920cc36e84807657f8ff	2026-08-21T15:37:06+08:00	docs 更新
23e40e6ca00e3125f597226996617a01e4cbdfc9	2026-08-19T13:02:11+08:00	refactor: organize benchmark packages and evidence
0a358bd70a45bcb1b6561647bfc853e10c8bdacb	2026-08-19T12:26:03+08:00	feat: add durable recovery and agent strategy benchmarks
3c192760c30dae6a9125926b46c7a3c3d993ccb5	2026-08-17T19:13:30+08:00	fix(web): add idempotency UUID fallback for artifact creation
78132234e8f1b5d07729e40f4039850d73bc6c83	2026-08-17T14:31:43+08:00	fix: close durable agent cancellation safety
a9e8cb4255340eb4f557a263ae7d50f2fab41348	2026-08-17T13:13:47+08:00	fix: close final durable agent mvp gaps
ea95fd571f180169284d4358cc9288d5b51f8cfb	2026-08-17T12:17:30+08:00	fix: finalize durable agent mvp
36a9fb5aed4201cb38af2a84387ece2775126b12	2026-08-17T10:25:24+08:00	fix: harden durable agent execution
0871d5cf727eb99eabf0cd71ef1a65c334b18aeb	2026-08-17T00:18:33+08:00	feat: add durable Temporal agent workflows
eccc89953b1214def80f96b102f355c527cfb9df	2026-08-16T17:16:52+08:00	feat: complete registration and QQ binding setup
c5722ffd26185a796ed10191910ad777dd386c10	2026-08-16T15:37:58+08:00	fix: harden credential and QQ binding flows
67a3fd40d3af13b24899602592f13eeff0e23d16	2026-08-16T14:08:35+08:00	feat: add web registration and QQ self-service binding
6df398ab4ac19298eb0c5af6d49d7a07d089351c	2026-08-15T17:29:59+08:00	fix(web): harden artifact lifecycle
16c489253a627a619661b29b00e71e84c998fca0	2026-08-15T16:10:02+08:00	feat(web): add durable artifact generation
051da9a42b974bbe80c6b83b94199863ff0eb81a	2026-08-12T13:52:16+08:00	feat(observability): add local execution observatory
e68c3d9ac51a22ed1474d525e82ee6907b32eb53	2026-08-12T12:33:04+08:00	docs: add observability normalization guide
0292b11892e16c19cb3c0263c9b3bd4a35dc4830	2026-08-12T12:08:56+08:00	fix: restore ci observability checks
09467ba5746c57536cb0fcf08681a6672ee02984	2026-08-12T11:55:49+08:00	refactor: normalize execution observability
25200985db1a301696127a02978e2380fe83ca73	2026-08-12T03:25:26+08:00	refactor: close shared agent execution architecture
a408779a7555cf3a462209cbb27fe139190da9fe	2026-08-11T23:26:39+08:00	fix: stabilize web rendering and E2E diagnostics
6d3e485317c5923f7885923bf9697dc491ba8dce	2026-08-10T22:46:39+08:00	fix: finalize web API logging and dev compose workflow
07c55481260f9dc5163ebab5c3397c716e46ef2d	2026-08-10T02:18:44+08:00	feat: add structured web run lifecycle logs
b3bae455ccc5f32d5060022a519e3b9badb15651	2026-08-09T23:48:10+08:00	fix(web): web workspace provisioning — create repo/session branch inside Account lock
d878d7d8afcff216451401f6d3675f62bb4fae50	2026-08-08T14:16:22+08:00	feat(web): Phase G MVP release + production deployment + ops hardening (G-01~G-08)
9edc1ec3ab95fd2670584e794a7c6aafc6208bd3	2026-08-08T12:28:16+08:00	fix(web): review fixes — P0 startup wiring, P1 identity resolve semantics
