entity,kind,resource,evidence,scope
src/account/identity_binding_service.py::IdentityBindingService._consolidate_empty_web_account,SQL_WRITE,postgresql:identity_binding_challenges,src/account/identity_binding_service.py:338,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService._consolidate_empty_web_account,SQL_WRITE,postgresql:identity_binding_challenges,src/account/identity_binding_service.py:343,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService._consolidate_empty_web_account,SQL_WRITE,postgresql:accounts,src/account/identity_binding_service.py:348,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService._consume_pending_qq_challenge,SQL_WRITE,postgresql:identity_bindings,src/account/identity_binding_service.py:240,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService.consume_qq_challenge,SQL_WRITE,postgresql:identity_binding_challenges,src/account/identity_binding_service.py:190,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService._consume_pending_qq_challenge,SQL_READ,postgresql:accounts,src/account/identity_binding_service.py:217,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService._consume_pending_qq_challenge,SQL_READ,postgresql:identity_bindings,src/account/identity_binding_service.py:223,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService._consolidate_empty_web_account,SQL_READ,postgresql:identity_bindings,src/account/identity_binding_service.py:283,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService._consolidate_empty_web_account,SQL_READ,postgresql:identity_bindings,src/account/identity_binding_service.py:293,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService.create_qq_challenge,SQL_WRITE,postgresql:identity_binding_challenges,src/account/identity_binding_service.py:94,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService.create_qq_challenge,SQL_WRITE,postgresql:identity_binding_challenges,src/account/identity_binding_service.py:100,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService.get_qq_challenge,SQL_READ,postgresql:identity_binding_challenges,src/account/identity_binding_service.py:120,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService.get_identity_summary,SQL_READ,postgresql:identity_bindings,src/account/identity_binding_service.py:137,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService.consume_qq_challenge,SQL_READ,postgresql:identity_binding_challenges,src/account/identity_binding_service.py:168,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService._consume_pending_qq_challenge,SQL_READ,postgresql:identity_bindings,src/account/identity_binding_service.py:233,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService._consolidate_empty_web_account,SQL_READ,postgresql:web_credentials,src/account/identity_binding_service.py:300,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService._consume_pending_qq_challenge,SQL_READ,postgresql:accounts,src/account/identity_binding_service.py:249,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService.create_qq_challenge,SQL_READ,postgresql:accounts,src/account/identity_binding_service.py:87,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService.consume_qq_challenge,SQL_READ,postgresql:identity_bindings,src/account/identity_binding_service.py:177,DIRECT_SQL_LITERAL
src/account/postgres_account_service.py::PostgresAccountService._resolve_sync,SQL_READ,postgresql:identity_bindings,src/account/postgres_account_service.py:80,DIRECT_SQL_LITERAL
src/account/postgres_account_service.py::PostgresAccountService._resolve_sync,SQL_READ,postgresql:accounts,src/account/postgres_account_service.py:80,DIRECT_SQL_LITERAL
src/account/postgres_account_service.py::PostgresAccountService.list_all_ids,SQL_READ,postgresql:accounts,src/account/postgres_account_service.py:112,DIRECT_SQL_LITERAL
src/account/registration_service.py::RegistrationService.register,SQL_WRITE,postgresql:accounts,src/account/registration_service.py:57,DIRECT_SQL_LITERAL
src/account/registration_service.py::RegistrationService.register,SQL_WRITE,postgresql:identity_bindings,src/account/registration_service.py:59,DIRECT_SQL_LITERAL
src/account/registration_service.py::RegistrationService.register,SQL_WRITE,postgresql:web_credentials,src/account/registration_service.py:65,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore._complete_operation,SQL_WRITE,postgresql:agent_operations,src/agent_activities/store.py:378,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.acquire_lease,SQL_WRITE,postgresql:account_execution_leases,src/agent_activities/store.py:55,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.begin_operation,SQL_WRITE,postgresql:agent_operations,src/agent_activities/store.py:171,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.begin_tool_operation,SQL_WRITE,postgresql:agent_operations,src/agent_activities/store.py:206,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.fail_operation,SQL_WRITE,postgresql:agent_operations,src/agent_activities/store.py:217,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.mark_operation_uncertain,SQL_WRITE,postgresql:agent_operations,src/agent_activities/store.py:240,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.create_transcript,SQL_WRITE,postgresql:agent_transcripts,src/agent_activities/store.py:259,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.complete_operation_with_event,SQL_WRITE,postgresql:agent_transcript_events,src/agent_activities/store.py:353,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.complete_operation_with_event,SQL_WRITE,postgresql:agent_transcripts,src/agent_activities/store.py:358,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.begin_tool_operation,SQL_WRITE,postgresql:agent_operations,src/agent_activities/store.py:200,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.create_transcript,SQL_WRITE,postgresql:agent_transcript_events,src/agent_activities/store.py:276,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.create_transcript,SQL_WRITE,postgresql:agent_transcripts,src/agent_activities/store.py:281,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.acquire_lease,SQL_READ,postgresql:account_execution_leases,src/agent_activities/store.py:60,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.validate_and_renew_lease,SQL_WRITE,postgresql:account_execution_leases,src/agent_activities/store.py:86,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.release_lease,SQL_WRITE,postgresql:account_execution_leases,src/agent_activities/store.py:100,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.run_identity,SQL_READ,postgresql:runs,src/agent_activities/store.py:110,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.operation_result,SQL_READ,postgresql:agent_operations,src/agent_activities/store.py:121,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.tool_call_arguments,SQL_READ,postgresql:agent_operations,src/agent_activities/store.py:135,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.begin_operation,SQL_WRITE,postgresql:agent_operations,src/agent_activities/store.py:154,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.begin_operation,SQL_READ,postgresql:agent_operations,src/agent_activities/store.py:162,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.begin_tool_operation,SQL_WRITE,postgresql:agent_operations,src/agent_activities/store.py:182,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.begin_tool_operation,SQL_READ,postgresql:agent_operations,src/agent_activities/store.py:190,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.record_operation_intent,SQL_WRITE,postgresql:agent_operations,src/agent_activities/store.py:229,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.create_transcript,SQL_READ,postgresql:agent_transcripts,src/agent_activities/store.py:270,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.load_messages,SQL_READ,postgresql:agent_transcripts,src/agent_activities/store.py:299,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.load_messages,SQL_READ,postgresql:agent_transcript_events,src/agent_activities/store.py:305,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.complete_operation_with_event,SQL_READ,postgresql:agent_transcripts,src/agent_activities/store.py:334,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.result_content,SQL_READ,postgresql:agent_operations,src/agent_activities/store.py:386,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.acquire_lease,SQL_WRITE,postgresql:account_execution_leases,src/agent_activities/store.py:73,DIRECT_SQL_LITERAL
src/agent_activities/store.py::AgentDataStore.complete_operation_with_event,SQL_READ,postgresql:agent_transcript_events,src/agent_activities/store.py:342,DIRECT_SQL_LITERAL
src/agent_execution/run_budget.py::RunBudgetService._finish,SQL_WRITE,postgresql:run_budgets,src/agent_execution/run_budget.py:218,DIRECT_SQL_LITERAL
src/agent_execution/run_budget.py::RunBudgetService.release,SQL_WRITE,postgresql:run_usage_ledger,src/agent_execution/run_budget.py:253,DIRECT_SQL_LITERAL
src/agent_execution/run_budget.py::RunBudgetService.release,SQL_WRITE,postgresql:run_budgets,src/agent_execution/run_budget.py:258,DIRECT_SQL_LITERAL
src/agent_execution/run_budget.py::RunBudgetService.reserve,SQL_WRITE,postgresql:run_budgets,src/agent_execution/run_budget.py:135,DIRECT_SQL_LITERAL
src/agent_execution/run_budget.py::RunBudgetService.reserve,SQL_WRITE,postgresql:run_budgets,src/agent_execution/run_budget.py:148,DIRECT_SQL_LITERAL
src/agent_execution/run_budget.py::RunBudgetService._finish,SQL_WRITE,postgresql:run_usage_ledger,src/agent_execution/run_budget.py:207,DIRECT_SQL_LITERAL
src/agent_execution/run_budget.py::RunBudgetService.reserve,SQL_READ,postgresql:run_budgets,src/agent_execution/run_budget.py:87,DIRECT_SQL_LITERAL
src/agent_execution/run_budget.py::RunBudgetService.reserve,SQL_READ,postgresql:run_usage_ledger,src/agent_execution/run_budget.py:94,DIRECT_SQL_LITERAL
src/agent_execution/run_budget.py::RunBudgetService.reserve,SQL_WRITE,postgresql:run_usage_ledger,src/agent_execution/run_budget.py:141,DIRECT_SQL_LITERAL
src/agent_execution/run_budget.py::RunBudgetService._finish,SQL_READ,postgresql:run_budgets,src/agent_execution/run_budget.py:178,DIRECT_SQL_LITERAL
src/agent_execution/run_budget.py::RunBudgetService._finish,SQL_READ,postgresql:run_usage_ledger,src/agent_execution/run_budget.py:185,DIRECT_SQL_LITERAL
src/agent_execution/run_budget.py::RunBudgetService.release,SQL_READ,postgresql:run_budgets,src/agent_execution/run_budget.py:233,DIRECT_SQL_LITERAL
src/agent_execution/run_budget.py::RunBudgetService.release,SQL_READ,postgresql:run_usage_ledger,src/agent_execution/run_budget.py:238,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.finish_event,SQL_WRITE,postgresql:trace_events,src/agent_execution/tracing/repository.py:127,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.finish_event,SQL_WRITE,postgresql:trace_runs,src/agent_execution/tracing/repository.py:135,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.create_trace_run,SQL_WRITE,postgresql:trace_runs,src/agent_execution/tracing/repository.py:35,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.create_trace_run,SQL_READ,postgresql:runs,src/agent_execution/tracing/repository.py:35,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.start_event,SQL_WRITE,postgresql:trace_events,src/agent_execution/tracing/repository.py:63,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.finish_event,SQL_READ,postgresql:trace_events,src/agent_execution/tracing/repository.py:99,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.finish_event,SQL_READ,postgresql:trace_runs,src/agent_execution/tracing/repository.py:99,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.finish_event,SQL_WRITE,postgresql:trace_events,src/agent_execution/tracing/repository.py:108,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.finish_event,SQL_READ,postgresql:trace_runs,src/agent_execution/tracing/repository.py:108,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.get_trace_tree,SQL_READ,postgresql:trace_runs,src/agent_execution/tracing/repository.py:145,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.get_trace_tree,SQL_READ,postgresql:trace_events,src/agent_execution/tracing/repository.py:151,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.create_trace_run,SQL_READ,postgresql:trace_runs,src/agent_execution/tracing/repository.py:44,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.start_event,SQL_READ,postgresql:trace_events,src/agent_execution/tracing/repository.py:80,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.finish_event,SQL_READ,postgresql:trace_events,src/agent_execution/tracing/repository.py:118,DIRECT_SQL_LITERAL
src/agent_execution/tracing/repository.py::PostgresTraceRepository.finish_event,SQL_READ,postgresql:trace_runs,src/agent_execution/tracing/repository.py:118,DIRECT_SQL_LITERAL
src/agent_execution/web_adapters.py::PostgresWebRequestLoader.load.load_base,SQL_READ,postgresql:runs,src/agent_execution/web_adapters.py:55,DIRECT_SQL_LITERAL
src/application/memory_retention.py::MemoryRetentionService.load_completed_run,SQL_READ,postgresql:runs,src/application/memory_retention.py:60,DIRECT_SQL_LITERAL
src/application/memory_retention.py::MemoryRetentionService.load_completed_run,SQL_READ,postgresql:messages,src/application/memory_retention.py:60,DIRECT_SQL_LITERAL
src/application/memory_retention.py::MemoryRetentionService.load_completed_run,SQL_READ,postgresql:messages,src/application/memory_retention.py:60,DIRECT_SQL_LITERAL
src/application/session_archive.py::SessionArchiveService.archive,SQL_WRITE,postgresql:failed,src/application/session_archive.py:111,LEXICAL_EFFECT_CANDIDATE
src/document_activities/runtime.py::DocumentActivities._trace_parent,SQL_READ,postgresql:trace_events,src/document_activities/runtime.py:91,DIRECT_SQL_LITERAL
src/document_activities/runtime.py::DocumentActivities._trace_parent,SQL_READ,postgresql:trace_runs,src/document_activities/runtime.py:91,DIRECT_SQL_LITERAL
src/document_activities/runtime.py::DocumentActivities._ledger_state,SQL_READ,postgresql:run_usage_ledger,src/document_activities/runtime.py:102,DIRECT_SQL_LITERAL
src/file_domain/approvals.py::FileActionApprovalService.consume,SQL_WRITE,postgresql:file_action_approvals,src/file_domain/approvals.py:214,DIRECT_SQL_LITERAL
src/file_domain/approvals.py::FileActionApprovalService.decide,SQL_WRITE,postgresql:file_action_approvals,src/file_domain/approvals.py:141,DIRECT_SQL_LITERAL
src/file_domain/approvals.py::FileActionApprovalService.request,SQL_WRITE,postgresql:file_action_approvals,src/file_domain/approvals.py:88,DIRECT_SQL_LITERAL
src/file_domain/approvals.py::FileActionApprovalService.list_for_run,SQL_READ,postgresql:file_action_approvals,src/file_domain/approvals.py:106,DIRECT_SQL_LITERAL
src/file_domain/approvals.py::FileActionApprovalService.decide,SQL_READ,postgresql:file_action_approvals,src/file_domain/approvals.py:135,DIRECT_SQL_LITERAL
src/file_domain/approvals.py::FileActionApprovalService.decide,SQL_WRITE,postgresql:file_action_approvals,src/file_domain/approvals.py:147,DIRECT_SQL_LITERAL
src/file_domain/approvals.py::FileActionApprovalService.authoritative_status,SQL_READ,postgresql:file_action_approvals,src/file_domain/approvals.py:162,DIRECT_SQL_LITERAL
src/file_domain/approvals.py::FileActionApprovalService.cancel,SQL_WRITE,postgresql:file_action_approvals,src/file_domain/approvals.py:181,DIRECT_SQL_LITERAL
src/file_domain/approvals.py::FileActionApprovalService.consume,SQL_READ,postgresql:file_action_approvals,src/file_domain/approvals.py:199,DIRECT_SQL_LITERAL
src/file_domain/approvals.py::FileActionApprovalService.authoritative_status,SQL_WRITE,postgresql:file_action_approvals,src/file_domain/approvals.py:170,DIRECT_SQL_LITERAL
src/file_domain/approvals.py::FileActionApprovalService.list_for_run,SQL_READ,postgresql:runs,src/file_domain/approvals.py:110,DIRECT_SQL_LITERAL
src/file_domain/persistence.py::NormalizedDocumentRepository.find_by_operation,SQL_READ,postgresql:normalized_documents,src/file_domain/persistence.py:17,DIRECT_SQL_LITERAL
src/file_domain/persistence.py::NormalizedDocumentRepository.insert,SQL_WRITE,postgresql:normalized_documents,src/file_domain/persistence.py:31,DIRECT_SQL_LITERAL
src/file_domain/persistent.py::PersistentFileRepository.create,SQL_WRITE,postgresql:persistent_file_revisions,src/file_domain/persistent.py:88,DIRECT_SQL_LITERAL
src/file_domain/persistent.py::PersistentFileRepository.advance,SQL_WRITE,postgresql:persistent_file_revisions,src/file_domain/persistent.py:119,DIRECT_SQL_LITERAL
src/file_domain/persistent.py::PersistentFileRepository.get,SQL_READ,postgresql:persistent_file_destinations,src/file_domain/persistent.py:59,DIRECT_SQL_LITERAL
src/file_domain/persistent.py::PersistentFileRepository.create,SQL_READ,postgresql:persistent_file_destinations,src/file_domain/persistent.py:71,DIRECT_SQL_LITERAL
src/file_domain/persistent.py::PersistentFileRepository.create,SQL_WRITE,postgresql:persistent_file_destinations,src/file_domain/persistent.py:81,DIRECT_SQL_LITERAL
src/file_domain/persistent.py::PersistentFileRepository.advance,SQL_WRITE,postgresql:persistent_file_destinations,src/file_domain/persistent.py:102,DIRECT_SQL_LITERAL
src/file_domain/persistent.py::PersistentWebFileService._source,SQL_READ,postgresql:stored_files,src/file_domain/persistent.py:261,DIRECT_SQL_LITERAL
src/file_domain/persistent.py::PersistentWebFileService._source,SQL_READ,postgresql:run_files,src/file_domain/persistent.py:261,DIRECT_SQL_LITERAL
src/file_domain/persistent.py::PersistentWebFileService._source,SQL_READ,postgresql:runs,src/file_domain/persistent.py:261,DIRECT_SQL_LITERAL
src/file_domain/persistent.py::PersistentWebFileService._approval,SQL_READ,postgresql:file_action_approvals,src/file_domain/persistent.py:274,DIRECT_SQL_LITERAL
