evidence_id,title,path,line,claim,kind,sha256,classification,revision
E22,冻结 legacy History 的范围,test/test_web_temporal_replay.py,66,测试只 replay 已冻结 completed happy path；不是全量线上历史或 durable 兼容证明。,TEST_SOURCE_READ_NOT_EXECUTED,d230619d87551108753779cdb4625bb3a7ceb16f56ab248dd3be9e526be20b70,CURRENT_FACT,2.2-r2.1
E23,注册合同断言,test/test_durable_agent_contract.py,77,断言 lifecycle/agent 注册定义列表；本次只读未执行。,TEST_SOURCE_READ_NOT_EXECUTED,eeadbc1e8ab9526f524a3095e77aa0c5925a2c6485f715ccc2140b996c9b04c8,CURRENT_FACT,2.2-r2.1
E24,依赖文件的不同 build context,src/Dockerfile,35,main context=src；API/migrate context=根目录；两份 requirements 当前相同。,SOURCE_REVIEW,cc469e110ea072c2678878c63a7f8507a1c6dc3e2292621e2b66fde88eab6dda,CURRENT_FACT,2.2-r2.1
E25,前端当前能力范围,web/src/App.tsx,1,结合 web/src 全量搜索与 2.1 frontend_symbols，未见任务管理路由/API；仅测试附件名出现 research。,SOURCE_REVIEW,4c5354817ef92e37825ebf6206e26365541815a53483f3e1804b653bc436aff2,CURRENT_FACT,2.2-r2.1
E26,QQ account 级会话入口,src/application/conversation.py,71,当前按 account start/signal OrchestrationWorkflow，生成字符串 session_id，并准备本地资源。,SOURCE_REVIEW,abb2bc881a61e8f91eab9a43c2e0c2fb0ecc952e555c1d0a60d2ab863c71a557,CURRENT_FACT,2.2-r2.1
E27,PG 交互实体与单活跃约束,persistence/migrations/001_phase_a_schema.sql,51,Conversation/Message/Session/Run 及 queued/running/cancelling 单活跃索引已存在，未含目标 QQ 适配。,SOURCE_REVIEW,2fdb4ce211d5d13b1bb26d78d33bde261a25cefb5d3c9ecb0ecddc587f913e38,CURRENT_FACT,2.2-r2.1
E28,Web 交互事务与 busy,src/web_domain/services.py,130,先锁 Conversation、查幂等/busy，再建 Session/Message/Run/budget/Outbox；不是已实现中立 QQ 命令。,SOURCE_REVIEW,641b9725fba87535e9e87ffbc658a7a8a3edd56632cdf130656694816470988b,CURRENT_FACT,2.2-r2.1
E29,准备与模型调用耦合,src/agent_activities/runtime.py,413,同 Activity 读 transcript、加 objective、选工具并调模型；没有预调用审阅。,SOURCE_REVIEW,cacaf252b645f8f320c913600c2cd99a608b38f63a0e1f800c5ccaae2ab320d4,CURRENT_FACT,2.2-r2.1
E30,调用后输入投影,src/brain/engine.py,170,generate_chat_decision 在模型返回后生成 input_context；不是完整 provider 请求快照。,SOURCE_REVIEW,08de98080de8716a044b30e475237376664601a8bb76197e3427506dea4c64ff,CURRENT_FACT,2.2-r2.1
E31,真正 provider payload 转换,src/resources/model_client.py,191,选择实际 model，转换 messages/tools、填有效 max_tokens/stream 并合并 extra_body。,SOURCE_REVIEW,65116797317165e1f5f9d3e5dbdc9a9101bbde0dbdd82c07270c89941c7ed793,CURRENT_FACT,2.2-r2.1
E32,模型回退发生于运行时,src/resources/resource_pool.py,108,selector 解析候选 endpoint，按 attempt 调 client 并做预算 reserve/settle，可能 fallback。,SOURCE_REVIEW,8d3293d17aa50ed973cfe773ddf7cd6169d37d3102cfae798a4f50216517bf0f,CURRENT_FACT,2.2-r2.1
E33,文件审批的 durable wait,src/agent_workflows/tool_execution.py,33,signal 唤醒后查询权威审批状态，wait_condition 等待；当前是工具/文件审批而非 Model Review。,SOURCE_REVIEW,84d5b3c8a8058dd1cfe823cc84a4336d3d8895efe4d48cf72c21946d44858b7d,CURRENT_FACT,2.2-r2.1
E34,执行 lease 过期与 fencing,src/agent_activities/store.py,81,只有 owner/token/未过期符合条件才续租，不能把长时间审阅后的旧 token 当作自动有效。,SOURCE_REVIEW,0a340aa1a2ff2f250e3970a999a18219fbe10b4478cc448a08b795d187e18c34,CURRENT_FACT,2.2-r2.1
E35,Research Run 非聊天 shape,persistence/migrations/021_research_r0_r2.sql,31,Research Run 绑定 Task，conversation/session/trigger/context_seq 为空；同表共享 Run 不等于共享聊天实体。,SOURCE_REVIEW,8db62c43245a02ba76e3e28cd81ff0bb13d6689d439f0664f267e2c4ca7e6f7d,CURRENT_FACT,2.2-r2.1
E36,当前 checkout 不是任意会话快照,src/workspace/isolation.py,251,加载 account_repo/session 后锁账户、准备并切分支，还写 Web session_context；执行准备不能用作只读查询。,SOURCE_REVIEW,58c67cf868cb20554f86aec13dd0999340e4c843a62a35e638bd3ce4bcda941b,CURRENT_FACT,2.2-r2.1
E37,上下文准备已有辅助模型调用,src/agent_activities/runtime.py,242,loader/记忆组装写 transcript；可先调用 fast 模型改写 recall query；trace surface 当前写 web。,SOURCE_REVIEW,cacaf252b645f8f320c913600c2cd99a608b38f63a0e1f800c5ccaae2ab320d4,CURRENT_FACT,2.2-r2.1
E38,QQ SessionStore 仍实际存在,src/session/store.py,46,QQ Redis/WAL/checkpoint 现状；目标统一 PG 需要迁移正式消费者，不能以改文档声称已删除。,SOURCE_REVIEW,e98c9ffd8be582d42ffb2d44ef47aac4292d023b0a906e18f92f0ead9719a058,CURRENT_FACT,2.2-r2.1
E39,Run Files 独立范围,src/workspace/file_scope.py,55,Run 文件输入/临时/输出范围，区别于 Git account/session workspace。,SOURCE_REVIEW,0047c87ba55835986d61af635cbefac17d789f2b12a5c958f8dbe6bd137d2141,CURRENT_FACT,2.2-r2.1
E40,harness 含混合必要能力,src/harness/activities.py,41,QQ turn 调旧 Host；同文件还有 archive/reflection/metrics，不能按目录整体判可删。,SOURCE_REVIEW,152ca9a75d7f60e2706f86bbd3677eec6a000d77305c4db23ea0e31d9c5f0bc5,CURRENT_FACT,2.2-r2.1
E41,规划与评估另有模型调用,src/agent_activities/runtime.py,1102,planning/evaluate_plan 构建专门 instructions 后直接调用 Brain；只拆 model_decision 无法覆盖全部主模型阶段。,SOURCE_REVIEW,cacaf252b645f8f320c913600c2cd99a608b38f63a0e1f800c5ccaae2ab320d4,CURRENT_FACT,2.2-r2.1
E42,当前文档维护约束,docs/architecture/README.md,5,要求实现事实优先、显式 drift 与 Excalidraw 人工维护；目标 ADR/当前文档分工是本次建议。,SOURCE_REVIEW,0da6d1db77e52d3673906d4d269beb96d057758d28a134ba78a7f4bea83a4e5b,CURRENT_FACT,2.2-r2.1
E43,当前审批 UI 范围,web/src/components/ApprovalCard.tsx,18,调用 listFileApprovals/decideFileApproval 并展示文件目的地；不是模型输入权限投影。,SOURCE_REVIEW,1fd86c0c6c0f8b46c61fe47b12d11c5b45db3b820a7d66c169e66c5a82c7d1e1,CURRENT_FACT,2.2-r2.1
E44,当前一次性执行 lease,src/orchestration/durable_web_workflow.py,86,启动 AgentRunWorkflow 前 acquire，固定 token 传入子 Workflow，finally 用同 token release；suspend-safe 分段 lease 是 W1 目标，未实现。,SOURCE_REVIEW,4e8090c54e064006f09bdf167578b111f9708db7e8494c6f391cc5e95e85300f,CURRENT_FACT,2.2-r2.1
E45,当前 Agent 输入硬绑定,src/agent_workflows/contracts.py,17,必填 conversation_id/session_id 与固定 lease_token；source-neutral 输入及可更新执行 token 是目标，未实现。,SOURCE_REVIEW,ed4f0bd15ab7f4e8e02c8f9560094461965e74d20f20914fac3094320cc4d4de,CURRENT_FACT,2.2-r2.1
