module,path,baseline_status,status,new_owner,baseline_import_chain,current_import_chain,current_source_callers,current_test_script_callers,reason
agent_execution,src/agent_execution/__init__.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,web_api.app -> agent_execution,,src/agent_execution/activity_control.py:1; src/agent_execution/audit.py:1; src/agent_execution/audit.py:9; src/agent_execution/brain_action_loop.py:1; src/agent_execution/brain_action_loop.py:12; src/agent_execution/brain_action_loop.py:23; src/agent_execution/chat_bindings.py:1; src/agent_execution/chat_run_input.py:1; src/agent_execution/facade.py:1; src/agent_execution/model_budget_context.py:1; src/agent_execution/qq_host.py:1; src/agent_execution/qq_host.py:12; src/agent_execution/qq_host.py:16; src/agent_execution/run_budget.py:1; src/agent_execution/tracing/__init__.py:1; src/agent_execution/tracing/context.py:1; src/agent_execution/tracing/instrumentation.py:1; src/agent_execution/tracing/lifecycle.py:1; src/agent_execution/tracing/metadata.py:1; src/agent_execution/tracing/models.py:1; src/agent_execution/tracing/repository.py:1; src/agent_execution/tracing/sink.py:1; src/agent_execution/web_adapters.py:1; src/agent_execution/web_adapters.py:6; src/agent_execution/web_events.py:1; src/agent_execution/web_host.py:1; src/agent_execution/web_host.py:10; src/agent_execution/web_host.py:16; src/orchestration/web_activities.py:10,test/test_application_services.py:5; test/test_observability_preflight.py:11; test/test_observability_preflight.py:12; test/test_observability_preflight.py:13; test/test_observability_preflight.py:19; test/test_qq_execution_compat.py:5; test/test_qq_execution_compat.py:6; test/test_qq_retention_document.py:15; test/test_qq_retention_document.py:16; test/test_trace_events.py:12; test/test_web_temporal_contract.py:17; test/test_web_temporal_contract.py:18; test/test_web_temporal_contract.py:19; test/test_web_temporal_contract.py:20,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent_execution.activity_control,src/agent_execution/activity_control.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,agent_activities.control,main -> orchestration.worker -> agent_activities.runtime -> agent_execution.activity_control,,,,Implementation extracted; old surface retained for W3-B.
agent_execution.audit,src/agent_execution/audit.py,SAFE_TO_DELETE_AFTER_W3_A,SAFE_TO_DELETE_AFTER_W3_A,,,,,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent_execution.brain_action_loop,src/agent_execution/brain_action_loop.py,SAFE_TO_DELETE_AFTER_W3_A,SAFE_TO_DELETE_AFTER_W3_A,,,,,test/test_application_services.py:5; test/test_observability_preflight.py:11; test/test_web_temporal_contract.py:17,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent_execution.chat_bindings,src/agent_execution/chat_bindings.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,conversation_domain.execution_bindings,main -> orchestration.worker -> agent_execution.chat_bindings,,,,Implementation extracted; old surface retained for W3-B.
agent_execution.chat_run_input,src/agent_execution/chat_run_input.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,conversation_domain.run_input,main -> orchestration.worker -> agent_execution.chat_run_input,,,,Implementation extracted; old surface retained for W3-B.
agent_execution.facade,src/agent_execution/facade.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,application.execution_contracts,main -> orchestration.worker -> agent_activities.runtime -> agent_execution.facade,,src/agent_execution/audit.py:9; src/agent_execution/brain_action_loop.py:12; src/agent_execution/brain_action_loop.py:23; src/agent_execution/qq_host.py:12; src/agent_execution/qq_host.py:16; src/agent_execution/web_adapters.py:6; src/agent_execution/web_host.py:10; src/agent_execution/web_host.py:16,test/test_observability_preflight.py:12; test/test_qq_execution_compat.py:5; test/test_qq_retention_document.py:15; test/test_web_temporal_contract.py:18,Implementation extracted; old surface retained for W3-B.
agent_execution.model_budget_context,src/agent_execution/model_budget_context.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,resources.model_budget_context,main -> orchestration.worker -> agent_activities.runtime -> agent_execution.model_budget_context,,,,Implementation extracted; old surface retained for W3-B.
agent_execution.qq_host,src/agent_execution/qq_host.py,SAFE_TO_DELETE_AFTER_W3_A,SAFE_TO_DELETE_AFTER_W3_A,,,,,test/test_observability_preflight.py:13; test/test_qq_execution_compat.py:6; test/test_qq_retention_document.py:16; test/test_web_temporal_contract.py:19,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent_execution.run_budget,src/agent_execution/run_budget.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,resources.run_budget,main -> orchestration.worker -> agent_execution.run_budget,,,,Implementation extracted; old surface retained for W3-B.
agent_execution.tracing,src/agent_execution/tracing/__init__.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,tracing,web_api.app -> agent_execution.tracing,,src/agent_execution/tracing/context.py:1; src/agent_execution/tracing/instrumentation.py:1; src/agent_execution/tracing/lifecycle.py:1; src/agent_execution/tracing/metadata.py:1; src/agent_execution/tracing/models.py:1; src/agent_execution/tracing/repository.py:1; src/agent_execution/tracing/sink.py:1,,Implementation extracted; old surface retained for W3-B.
agent_execution.tracing.context,src/agent_execution/tracing/context.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,tracing.context,web_api.app -> agent_execution.tracing -> agent_execution.tracing.context,,,,Implementation extracted; old surface retained for W3-B.
agent_execution.tracing.instrumentation,src/agent_execution/tracing/instrumentation.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,tracing.instrumentation,web_api.app -> agent_execution.tracing -> agent_execution.tracing.instrumentation,,,,Implementation extracted; old surface retained for W3-B.
agent_execution.tracing.lifecycle,src/agent_execution/tracing/lifecycle.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,tracing.lifecycle,web_api.app -> agent_execution.tracing -> agent_execution.tracing.lifecycle,,,,Implementation extracted; old surface retained for W3-B.
agent_execution.tracing.metadata,src/agent_execution/tracing/metadata.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,tracing.metadata,web_api.app -> agent_execution.tracing -> agent_execution.tracing.metadata,,,,Implementation extracted; old surface retained for W3-B.
agent_execution.tracing.models,src/agent_execution/tracing/models.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,tracing.models,web_api.app -> agent_execution.tracing -> agent_execution.tracing.models,,,,Implementation extracted; old surface retained for W3-B.
agent_execution.tracing.repository,src/agent_execution/tracing/repository.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,tracing.repository,web_api.app -> agent_execution.tracing.repository,,,,Implementation extracted; old surface retained for W3-B.
agent_execution.tracing.sink,src/agent_execution/tracing/sink.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,tracing.sink,web_api.app -> agent_execution.tracing -> agent_execution.tracing.sink,,,,Implementation extracted; old surface retained for W3-B.
agent_execution.web_adapters,src/agent_execution/web_adapters.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,application.chat_execution,main -> orchestration.worker -> agent_execution.web_adapters,,,,Implementation extracted; old surface retained for W3-B.
agent_execution.web_events,src/agent_execution/web_events.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,web_domain.run_events,main -> orchestration.worker -> agent_execution.web_events,,,,Implementation extracted; old surface retained for W3-B.
agent_execution.web_host,src/agent_execution/web_host.py,SAFE_TO_DELETE_AFTER_W3_A,SAFE_TO_DELETE_AFTER_W3_A,,,,src/orchestration/web_activities.py:10,test/test_observability_preflight.py:19; test/test_trace_events.py:12; test/test_web_temporal_contract.py:20,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
application.memory,src/application/memory.py,SAFE_TO_DELETE_AFTER_W3_A,SAFE_TO_DELETE_AFTER_W3_A,,,,,,TurnMemoryService has no canonical import/construction; legacy tests remain.
application.reply,src/application/reply.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.worker -> bootstrap.qq -> application.reply,main -> orchestration.worker -> bootstrap.qq -> application.reply,src/bootstrap/qq.py:12,test/test_qq_execution_compat.py:13,Canonical QQ delivery and reminder presentation capability; not a retired execution owner.
application.session_archive,src/application/session_archive.py,SAFE_TO_DELETE_AFTER_W3_A,SAFE_TO_DELETE_AFTER_W3_A,,,,,test/test_application_services.py:7,Legacy archive service has no canonical caller; do not invent a new PG archive product flow in W3-A.
bootstrap.qq,src/bootstrap/qq.py,SURVIVOR_EXTRACT_REQUIRED,STILL_REACHABLE,memory.maintenance (HindsightMaintenance only),main -> orchestration.worker -> bootstrap.qq,main -> orchestration.worker -> bootstrap.qq,src/orchestration/worker.py:35,test/test_qq_canonical_protocol.py:73,Canonical QQ/shared capability composition remains; only maintenance adapter extracted.
common.types,src/common/types.py,STILL_REACHABLE,STILL_REACHABLE,,main -> common -> common.types,main -> common -> common.types,src/actions/runtime.py:18; src/agent_execution/qq_host.py:133; src/agent_execution/qq_host.py:529; src/application/context_assembly.py:12; src/application/context_builder.py:27; src/application/conversation.py:9; src/application/identity_commands.py:15; src/application/ingress.py:11; src/application/memory.py:12; src/application/qq_delivery.py:9; src/application/reply.py:17; src/channels/base.py:28; src/channels/console.py:22; src/channels/napcat.py:44; src/channels/official_qq.py:70; src/channels/router.py:29; src/common/__init__.py:9; src/common/interfaces.py:13; src/orchestration/worker.py:39; src/resources/model_client.py:23; src/session/store.py:35; src/web_api/fake_executor.py:7,test/support/qq_messages.py:1; test/test_context_assembly.py:12; test/test_identity_command_interception.py:15; test/test_qq_delivery_adapter.py:8; test/test_run_budget.py:9; test/test_unbound_identity.py:20; test/test_web_temporal_contract.py:29,Shared Event/EventType/ChannelType/UnifiedMessage contracts remain in existing common owner.
harness,src/harness/__init__.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> harness,,src/harness/activities.py:1; src/harness/context_builder.py:1; src/harness/prompts.py:1,test/test_qq_execution_compat.py:14,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
harness.activities,src/harness/activities.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,memory.activities (reflection/metrics only),main -> orchestration.worker -> harness.activities,,,test/test_qq_execution_compat.py:14,Implementation extracted; old surface retained for W3-B.
harness.context_builder,src/harness/context_builder.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,application.context_builder,main -> orchestration.worker -> harness.context_builder,,src/harness/__init__.py:3,,Implementation extracted; old surface retained for W3-B.
harness.prompts,src/harness/prompts.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,application.prompts,main -> orchestration.worker -> harness.prompts,,,,Implementation extracted; old surface retained for W3-B.
orchestration,src/orchestration/__init__.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration,main -> orchestration,src/application/prompts.py:46; src/file_runtime/routing.py:11; src/file_runtime/routing.py:12; src/main.py:51; src/main.py:52; src/orchestration/agent_lifecycle_workflow.py:1; src/orchestration/agent_lifecycle_workflow.py:28; src/orchestration/artifact_activities.py:1; src/orchestration/artifact_dispatcher.py:1; src/orchestration/artifact_dispatcher.py:16; src/orchestration/artifact_workflow.py:1; src/orchestration/artifact_workflow.py:11; src/orchestration/config.py:1; src/orchestration/document_contracts.py:1; src/orchestration/document_worker.py:1; src/orchestration/document_worker.py:15; src/orchestration/document_workflow.py:1; src/orchestration/document_workflow.py:11; src/orchestration/memory_retention_worker.py:1; src/orchestration/research_schedule.py:1; src/orchestration/research_schedule.py:17; src/orchestration/research_schedule.py:22; src/orchestration/research_workflow.py:1; src/orchestration/research_workflow.py:17; src/orchestration/run_lifecycle_activities.py:1; src/orchestration/run_lifecycle_activities.py:14; src/orchestration/run_lifecycle_contracts.py:1; src/orchestration/scheduler.py:1; src/orchestration/web_activities.py:1; src/orchestration/web_activities.py:12; src/orchestration/web_activities.py:14; src/orchestration/web_dispatcher.py:1; src/orchestration/web_dispatcher.py:21; src/orchestration/web_dispatcher.py:22; src/orchestration/web_dispatcher.py:23; src/orchestration/web_reconcile_adapters.py:1; src/orchestration/web_reconciler.py:1; src/orchestration/web_worker.py:1; src/orchestration/web_worker.py:56; src/orchestration/web_worker.py:60; src/orchestration/web_worker.py:61; src/orchestration/web_worker.py:62; src/orchestration/web_worker.py:63; src/orchestration/web_worker.py:64; src/orchestration/web_workers.py:1; src/orchestration/web_workers.py:29; src/orchestration/web_workers.py:30; src/orchestration/web_workers.py:31; src/orchestration/web_workers.py:32; src/orchestration/web_workers.py:33; src/orchestration/web_workflow.py:1; src/orchestration/web_workflow.py:14; src/orchestration/web_workflow.py:32; src/orchestration/worker.py:1; src/orchestration/worker.py:1017; src/orchestration/worker.py:122; src/orchestration/worker.py:126; src/orchestration/worker.py:130; src/orchestration/worker.py:139; src/orchestration/worker.py:144; src/orchestration/worker.py:145; src/orchestration/worker.py:149; src/orchestration/worker.py:373; src/orchestration/worker.py:377; src/orchestration/worker.py:399; src/orchestration/worker.py:47; src/orchestration/worker.py:904; src/orchestration/workflow.py:1; src/research_activities/runtime.py:18; src/web_domain/workflow_execution.py:8; src/web_domain/workflow_execution.py:9,scripts/benchmarks/outbox/outbox_benchmark_worker.py:29; scripts/benchmarks/outbox/outbox_benchmark_worker.py:30; scripts/benchmarks/outbox/outbox_benchmark_worker.py:35; scripts/benchmarks/outbox/outbox_benchmark_worker.py:38; test/support/durable_worker_process.py:49; test/support/durable_worker_process.py:50; test/support/research_worker_process.py:11; test/support/research_worker_process.py:16; test/test_agent_segment_replay.py:11; test/test_document_temporal_integration.py:15; test/test_document_temporal_integration.py:16; test/test_document_worker.py:16; test/test_document_worker.py:17; test/test_durable_agent_contract.py:153; test/test_durable_agent_contract.py:19; test/test_durable_agent_contract.py:20; test/test_durable_agent_contract.py:21; test/test_durable_agent_contract.py:22; test/test_durable_agent_contract.py:23; test/test_durable_agent_contract.py:24; test/test_durable_agent_worker_kill.py:25; test/test_durable_agent_worker_kill.py:26; test/test_model_configuration.py:9; test/test_qq_canonical_protocol.py:74; test/test_research_domain.py:9; test/test_research_schedule.py:7; test/test_research_temporal_contract.py:15; test/test_research_temporal_contract.py:9; test/test_research_temporal_integration.py:14; test/test_research_temporal_integration.py:19; test/test_research_temporal_integration.py:20; test/test_research_worker_kill.py:12; test/test_research_worker_kill.py:13; test/test_w1_gate_resources.py:14; test/test_w1_gate_resources.py:7; test/test_w1_gate_resources.py:8; test/test_w1c_cutover_contract.py:10; test/test_w1c_cutover_contract.py:11; test/test_w1c_cutover_contract.py:12; test/test_w1c_cutover_contract.py:16; test/test_w1c_cutover_contract.py:17; test/test_w1c_cutover_contract.py:87; test/test_web_artifacts.py:9; test/test_web_background_tasks.py:17; test/test_web_background_tasks.py:18; test/test_web_outbox_recovery.py:23; test/test_web_outbox_recovery.py:24; test/test_web_outbox_recovery.py:25; test/test_web_temporal_contract.py:172; test/test_web_temporal_contract.py:30; test/test_web_temporal_contract.py:31; test/test_web_temporal_contract.py:32; test/test_web_temporal_contract.py:33; test/test_web_temporal_contract.py:34; test/test_web_temporal_contract.py:35; test/test_web_temporal_contract.py:42; test/test_web_temporal_contract.py:43; test/test_web_temporal_contract.py:49; test/test_web_temporal_contract.py:622; test/test_web_temporal_integration.py:16; test/test_web_temporal_integration.py:17; test/test_web_temporal_replay.py:24; test/test_worker_identity_config.py:5; test/web_api/test_research_file_composition.py:8; test/web_persistence/test_f4_2_approval_temporal.py:33; test/web_persistence/test_outbox_and_lifecycle.py:253; test/web_persistence/test_outbox_and_lifecycle.py:398; test/web_persistence/test_research_r0_r2.py:8; test/web_persistence/test_research_schedule_temporal_integration.py:22; test/web_persistence/test_research_schedule_temporal_integration.py:26; test/web_persistence/test_web_artifacts.py:13; test/web_persistence/test_web_artifacts.py:17; test/web_persistence/test_web_artifacts.py:22; test/web_persistence/test_web_temporal_e2e.py:25; test/web_persistence/test_web_temporal_e2e.py:26; test/web_persistence/test_web_temporal_e2e.py:35; test/web_persistence/test_web_temporal_e2e.py:36; test/web_persistence/test_web_temporal_e2e.py:41,Canonical import path remains; retain/review actual symbol ownership.
orchestration.agent_lifecycle_workflow,src/orchestration/agent_lifecycle_workflow.py,STILL_REACHABLE,STILL_REACHABLE,,orchestration.web_worker -> orchestration.web_dispatcher -> orchestration.agent_lifecycle_workflow,orchestration.web_worker -> orchestration.web_dispatcher -> orchestration.agent_lifecycle_workflow,src/orchestration/web_dispatcher.py:21; src/orchestration/web_workers.py:29,scripts/benchmarks/outbox/outbox_benchmark_worker.py:29; test/support/durable_worker_process.py:49; test/test_agent_segment_replay.py:11; test/test_durable_agent_contract.py:19; test/test_durable_agent_worker_kill.py:25; test/test_w1c_cutover_contract.py:10; test/test_web_temporal_contract.py:30; test/test_web_temporal_integration.py:16; test/web_persistence/test_web_temporal_e2e.py:25,Canonical import path remains; retain/review actual symbol ownership.
orchestration.artifact_activities,src/orchestration/artifact_activities.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.worker -> orchestration.artifact_activities,main -> orchestration.worker -> orchestration.artifact_activities,src/orchestration/worker.py:122,test/web_persistence/test_web_artifacts.py:13,Canonical import path remains; retain/review actual symbol ownership.
orchestration.artifact_dispatcher,src/orchestration/artifact_dispatcher.py,STILL_REACHABLE,STILL_REACHABLE,,orchestration.web_worker -> orchestration.artifact_dispatcher,orchestration.web_worker -> orchestration.artifact_dispatcher,src/orchestration/web_worker.py:56; src/orchestration/worker.py:126; src/orchestration/worker.py:373,test/test_web_artifacts.py:9; test/web_persistence/test_web_artifacts.py:17,Canonical import path remains; retain/review actual symbol ownership.
orchestration.artifact_workflow,src/orchestration/artifact_workflow.py,STILL_REACHABLE,STILL_REACHABLE,,orchestration.web_worker -> orchestration.artifact_dispatcher -> orchestration.artifact_workflow,orchestration.web_worker -> orchestration.artifact_dispatcher -> orchestration.artifact_workflow,src/orchestration/artifact_dispatcher.py:16; src/orchestration/web_workers.py:30,test/test_durable_agent_contract.py:20; test/test_web_temporal_contract.py:31; test/web_persistence/test_web_artifacts.py:22,Canonical import path remains; retain/review actual symbol ownership.
orchestration.config,src/orchestration/config.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.config,main -> orchestration.config,src/application/prompts.py:46; src/main.py:51; src/orchestration/web_worker.py:60; src/orchestration/worker.py:47,test/test_model_configuration.py:9; test/test_research_domain.py:9; test/test_w1_gate_resources.py:7; test/test_w1c_cutover_contract.py:11; test/test_web_outbox_recovery.py:23; test/test_web_temporal_contract.py:32,Shared current config plus residual fields; file-level deletion prohibited.
orchestration.document_contracts,src/orchestration/document_contracts.py,STILL_REACHABLE,STILL_REACHABLE,,orchestration.document_worker -> orchestration.document_contracts,orchestration.document_worker -> orchestration.document_contracts,src/orchestration/document_worker.py:15; src/orchestration/document_workflow.py:11,test/test_document_temporal_integration.py:15; test/test_document_worker.py:16,Canonical import path remains; retain/review actual symbol ownership.
orchestration.document_worker,src/orchestration/document_worker.py,STILL_REACHABLE,STILL_REACHABLE,,orchestration.document_worker,orchestration.document_worker,,test/test_document_worker.py:17,Canonical import path remains; retain/review actual symbol ownership.
orchestration.document_workflow,src/orchestration/document_workflow.py,STILL_REACHABLE,STILL_REACHABLE,,orchestration.web_worker -> orchestration.web_workers -> orchestration.document_workflow,orchestration.web_worker -> orchestration.web_workers -> orchestration.document_workflow,src/file_runtime/routing.py:11; src/orchestration/web_workers.py:31,test/test_document_temporal_integration.py:16; test/test_durable_agent_contract.py:21; test/test_web_temporal_contract.py:33,Canonical import path remains; retain/review actual symbol ownership.
orchestration.memory_retention_worker,src/orchestration/memory_retention_worker.py,STILL_REACHABLE,STILL_REACHABLE,,orchestration.web_worker -> orchestration.memory_retention_worker,orchestration.web_worker -> orchestration.memory_retention_worker,src/orchestration/web_worker.py:61; src/orchestration/worker.py:399,,Canonical import path remains; retain/review actual symbol ownership.
orchestration.research_schedule,src/orchestration/research_schedule.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.worker -> orchestration.research_schedule,main -> orchestration.worker -> orchestration.research_schedule,src/orchestration/worker.py:1017; src/orchestration/worker.py:904,test/test_research_schedule.py:7,Canonical import path remains; retain/review actual symbol ownership.
orchestration.research_workflow,src/orchestration/research_workflow.py,STILL_REACHABLE,STILL_REACHABLE,,orchestration.web_worker -> orchestration.web_dispatcher -> orchestration.research_workflow,orchestration.web_worker -> orchestration.web_dispatcher -> orchestration.research_workflow,src/orchestration/research_schedule.py:17; src/orchestration/web_dispatcher.py:22; src/orchestration/web_workers.py:32; src/research_activities/runtime.py:18,test/support/research_worker_process.py:11; test/test_durable_agent_contract.py:22; test/test_research_temporal_contract.py:9; test/test_research_temporal_integration.py:14; test/test_research_worker_kill.py:12; test/test_web_temporal_contract.py:34; test/web_api/test_research_file_composition.py:8; test/web_persistence/test_research_r0_r2.py:8; test/web_persistence/test_research_schedule_temporal_integration.py:22,Canonical import path remains; retain/review actual symbol ownership.
